opportunity_id,order_id,opportunity_name,stage,probability,amount,created_date,close_date,lead_source,type,fiscal_quarter,expected_revenue
OPP_000037,50013835d7b14aefb452825864d3e414,Deal 50013835,Closed Won,1.0,74.76,2024-04-07,2024-04-18,Paid Search,New Business,Q4 2016,74.76
OPP_000038,6eb51c1c9c69f78ea9fd4665fb98b7d2,Deal 6eb51c1c,Closed Won,1.0,74.76,2024-04-05,2024-04-18,Web,New Business,Q4 2016,74.76
OPP_000039,cb29497c3782a76b57327c055d58b0e0,Deal cb29497c,Closed Won,1.0,163.2,2024-04-14,2024-04-18,Email,New Business,Q4 2016,163.2
OPP_000040,6b3ee7697a02619a0ace2b3f0aa46bde,Deal 6b3ee769,Closed Won,1.0,65.77,2024-04-17,2024-04-18,Paid Search,New Business,Q4 2016,65.77
OPP_000041,5204d67853f827d1ee32810bf8f2d6c2,Deal 5204d678,Closed Won,1.0,161.24,2024-04-06,2024-04-18,Social Media,New Business,Q4 2016,161.24
OPP_000042,ae0913baa54f18027667d8049c36fde2,Deal ae0913ba,Closed Won,1.0,173.4,2024-04-06,2024-04-18,Paid Search,New Business,Q4 2016,173.4
OPP_000043,b0cfee6ce5503781be6004e0e31e4309,Deal b0cfee6c,Closed Won,1.0,116.17,2024-04-07,2024-04-18,Web,New Business,Q4 2016,116.17
OPP_000044,95e01270fcbae9863423400103359279,Deal 95e01270,Closed Won,1.0,115.22,2024-04-15,2024-04-18,Paid Search,New Business,Q4 2016,115.22
OPP_000045,03128233e78ed8ade6738f2043f4cf8d,Deal 03128233,Closed Won,1.0,72.51,2024-04-05,2024-04-18,Social Media,New Business,Q4 2016,72.51
OPP_000046,90aea7c4e52538a18cb9bbfd16f09185,Deal 90aea7c4,Closed Won,1.0,979.91,2024-04-16,2024-04-18,Referral,New Business,Q4 2016,979.91
OPP_000047,d1eb8e4e276a4eea13a5c462c0765e60,Deal d1eb8e4e,Closed Won,1.0,40.79,2024-04-15,2024-04-18,Web,New Business,Q4 2016,40.79
OPP_000048,6e0d2539e48e84296bae6290de41058c,Deal 6e0d2539,Closed Won,1.0,982.41,2024-04-17,2024-04-18,Social Media,New Business,Q4 2016,982.41
OPP_000049,893dc49276696129a9bf6f2a9fe23e57,Deal 893dc492,Closed Won,1.0,169.23,2024-04-18,2024-04-18,Web,New Business,Q4 2016,169.23
OPP_000050,bb9fd560a08ca7403789dedaca85da14,Deal bb9fd560,Closed Won,1.0,217.3,2024-04-11,2024-04-18,Social Media,New Business,Q4 2016,217.3
OPP_000051,8d47519f5c9c42540b37bd3db0492878,Deal 8d47519f,Closed Won,1.0,89.38,2024-04-11,2024-04-18,Email,New Business,Q4 2016,89.38
OPP_000052,88130f20a472f28fcca9dd5d50358820,Deal 88130f20,Closed Won,1.0,447.49,2024-04-10,2024-04-18,Web,New Business,Q4 2016,447.49
OPP_000053,5cc475c7c03290048eb2e742cd64cb5e,Deal 5cc475c7,Closed Won,1.0,82.69,2024-04-14,2024-04-18,Web,New Business,Q4 2016,82.69
OPP_000054,cfdc6f2061897ed3b3f1a9ac3437c6f9,Deal cfdc6f20,Closed Won,1.0,149.46,2024-04-09,2024-04-18,Referral,New Business,Q4 2016,149.46
OPP_000055,d2d67121a09535b3a7b6a000e58d8625,Deal d2d67121,Closed Won,1.0,65.46,2024-04-12,2024-04-18,Web,New Business,Q4 2016,65.46
OPP_000056,8b388d845a3e8700444b971fa2bef902,Deal 8b388d84,Closed Won,1.0,108.84,2024-04-09,2024-04-18,Direct,New Business,Q4 2016,108.84
OPP_000057,a9fc3ae13c740ad46532fd50b61c69d5,Deal a9fc3ae1,Closed Won,1.0,34.42,2024-04-13,2024-04-18,Social Media,New Business,Q4 2016,34.42
OPP_000058,dd11631d8b02780b78bd97ec44a1ca8c,Deal dd11631d,Closed Won,1.0,338.46,2024-04-10,2024-04-18,Email,New Business,Q4 2016,338.46
OPP_000059,1c4deb98d216d2fda120204a5fcfb57d,Deal 1c4deb98,Closed Won,1.0,66.68,2024-04-07,2024-04-18,Social Media,New Business,Q4 2016,66.68
OPP_000060,a8c3f65a43b2e956cbfca10db4300853,Deal a8c3f65a,Closed Won,1.0,196.27,2024-04-16,2024-04-18,Direct,New Business,Q4 2016,196.27
OPP_000061,f001655c8c646cd1b5185bbc2e7534f3,Deal f001655c,Closed Won,1.0,60.6,2024-04-08,2024-04-18,Paid Search,New Business,Q4 2016,60.6
OPP_000062,bcbc0973414b1dd97555e6f8e9713cfa,Deal bcbc0973,Closed Won,1.0,383.24,2024-04-09,2024-04-18,Direct,New Business,Q4 2016,383.24
OPP_000063,7a7d2c889e27d93b2005462a8788e168,Deal 7a7d2c88,Closed Won,1.0,35.86,2024-04-16,2024-04-19,Web,New Business,Q4 2016,35.86
OPP_000064,cbbb524a0e1646aa6cf7a3c0bbe517ad,Deal cbbb524a,Closed Won,1.0,95.58,2024-04-11,2024-04-19,Referral,New Business,Q4 2016,95.58
OPP_000065,18dad78c0f87f4c45ef196daeaa3ffbb,Deal 18dad78c,Closed Won,1.0,58.41,2024-04-06,2024-04-19,Web,New Business,Q4 2016,58.41
OPP_000066,b2f92b2f7047cd8b35580d629d7b3bfb,Deal b2f92b2f,Closed Won,1.0,71.21,2024-04-16,2024-04-19,Web,New Business,Q4 2016,71.21
OPP_000067,34c718970b33419ed6d537a90366231b,Deal 34c71897,Closed Won,1.0,134.8,2024-04-07,2024-04-19,Email,New Business,Q4 2016,134.8
OPP_000068,0c7fc95baa5e16992ed412ccea7f28b3,Deal 0c7fc95b,Closed Won,1.0,113.17,2024-04-13,2024-04-19,Web,New Business,Q4 2016,113.17
OPP_000069,86df4a2f1f5cd47ee3f5bf1781240d1a,Deal 86df4a2f,Closed Won,1.0,45.49,2024-04-14,2024-04-19,Web,New Business,Q4 2016,45.49
OPP_000070,acf83f0e8fb878cb25197344426ed10b,Deal acf83f0e,Closed Won,1.0,663.93,2024-04-18,2024-04-19,Social Media,New Business,Q4 2016,663.93
OPP_000071,c46b48abd599551232324a6e9077bf19,Deal c46b48ab,Closed Won,1.0,270.75,2024-04-08,2024-04-19,Direct,New Business,Q4 2016,270.75
OPP_000072,e2eaf909eb6ba881117aa407992a5ffb,Deal e2eaf909,Closed Won,1.0,115.22,2024-04-17,2024-04-19,Web,New Business,Q4 2016,115.22
OPP_000073,92b44b87f1f7670b8911c5f0e642435e,Deal 92b44b87,Closed Won,1.0,161.65,2024-04-12,2024-04-19,Email,New Business,Q4 2016,161.65
OPP_000074,98750f114ae6088d04ea0d3cfe3f137f,Deal 98750f11,Closed Won,1.0,24.52,2024-04-10,2024-04-19,Email,New Business,Q4 2016,24.52
OPP_000075,31b0dd6152d2e471443debf037ae171d,Deal 31b0dd61,Closed Won,1.0,71.2,2024-04-14,2024-04-19,Web,New Business,Q4 2016,71.2
OPP_000076,cac247cece621e1bc64748d44331d22d,Deal cac247ce,Closed Won,1.0,273.77,2024-04-07,2024-04-19,Web,New Business,Q4 2016,273.77
OPP_000077,ad1aeeb1a99c9f021e38a49865bb812c,Deal ad1aeeb1,Closed Won,1.0,625.2,2024-04-14,2024-04-19,Web,New Business,Q4 2016,625.2
OPP_000078,3b2ca3293a7ce539ea2379d704fa37ce,Deal 3b2ca329,Closed Won,1.0,184.87,2024-04-06,2024-04-19,Email,New Business,Q4 2016,184.87
OPP_000079,dc5f6cd4492bbffe5bcda9b87856c9a5,Deal dc5f6cd4,Closed Won,1.0,108.84,2024-04-10,2024-04-19,Direct,New Business,Q4 2016,108.84
OPP_000080,59e7ca596664da0a459a145eb95cc9c5,Deal 59e7ca59,Closed Won,1.0,342.69,2024-04-19,2024-04-19,Referral,New Business,Q4 2016,342.69
OPP_000081,719628a909505f12f342015fd53a8d43,Deal 719628a9,Closed Won,1.0,40.86,2024-04-11,2024-04-19,Referral,New Business,Q4 2016,40.86
OPP_000082,ac2b7c522d811acba0aa270ed3e112e4,Deal ac2b7c52,Closed Won,1.0,315.24,2024-04-07,2024-04-19,Direct,New Business,Q4 2016,315.24
OPP_000083,03ffce741877a000ca0fb3520673d4c4,Deal 03ffce74,Closed Won,1.0,818.12,2024-04-19,2024-04-19,Social Media,New Business,Q4 2016,818.12
OPP_000084,2d9e3c3c7f0f3ba8a8fa3db2f1211ceb,Deal 2d9e3c3c,Closed Won,1.0,676.92,2024-04-19,2024-04-19,Web,New Business,Q4 2016,676.92
OPP_000085,cb2b577a4ebd84bf84ff3990084d490f,Deal cb2b577a,Closed Won,1.0,149.91,2024-04-10,2024-04-19,Paid Search,New Business,Q4 2016,149.91
OPP_000086,ca3b8093576a51bea61c9782c7771f62,Deal ca3b8093,Closed Won,1.0,60.95,2024-04-10,2024-04-19,Referral,New Business,Q4 2016,60.95
OPP_000087,8729a8f7c27d03afe731463091711489,Deal 8729a8f7,Closed Won,1.0,152.12,2024-04-11,2024-04-19,Social Media,New Business,Q4 2016,152.12
OPP_000088,14b01335f19b97fce1437168032ae388,Deal 14b01335,Closed Won,1.0,162.39,2024-04-12,2024-04-19,Web,New Business,Q4 2016,162.39
OPP_000089,cf47ad2fb60cae3f74b943646f685c94,Deal cf47ad2f,Closed Won,1.0,661.75,2024-04-13,2024-04-19,Web,New Business,Q4 2016,661.75
OPP_000090,f7886facb594e65f0c41cdbb0583b560,Deal f7886fac,Closed Won,1.0,154.1,2024-04-14,2024-04-19,Social Media,New Business,Q4 2016,154.1
OPP_000091,5da2004d85f2828349d887c989da2adc,Deal 5da2004d,Closed Won,1.0,34.42,2024-04-11,2024-04-19,Email,New Business,Q4 2016,34.42
OPP_000092,389815397a4bcdf3dcf64b90c25b3140,Deal 38981539,Closed Won,1.0,45.49,2024-04-07,2024-04-19,Web,New Business,Q4 2016,45.49
OPP_000093,64f5569ef96004a1e1137bdf28fd4c45,Deal 64f5569e,Closed Won,1.0,69.63,2024-04-12,2024-04-19,Social Media,New Business,Q4 2016,69.63
OPP_000094,b330d4bdde86ff11a726ee57dd2a7d75,Deal b330d4bd,Closed Won,1.0,266.11,2024-04-11,2024-04-19,Web,New Business,Q4 2016,266.11
OPP_000095,85841af0d94e5d0cd3a9c0e42e565b74,Deal 85841af0,Closed Won,1.0,38.36,2024-04-15,2024-04-19,Web,New Business,Q4 2016,38.36
OPP_000096,27c7c6aa7b6f3de99d2a3a64674d296f,Deal 27c7c6aa,Closed Won,1.0,123.2,2024-04-10,2024-04-19,Email,New Business,Q4 2016,123.2
OPP_000097,7a36fa82d4bcff7d936c10be470b9c8e,Deal 7a36fa82,Closed Won,1.0,42.77,2024-04-17,2024-04-19,Social Media,New Business,Q4 2016,42.77
OPP_000098,62246c16a32a0866943f17d7b42db940,Deal 62246c16,Closed Won,1.0,69.35,2024-04-15,2024-04-20,Social Media,New Business,Q4 2016,69.35
OPP_000099,2e32dea8a4d1ae5499a67674b387bc6a,Deal 2e32dea8,Closed Won,1.0,51.94,2024-04-10,2024-04-20,Paid Search,New Business,Q4 2016,51.94
OPP_000100,d0fc18b01244d3a08b0fd12deede8201,Deal d0fc18b0,Closed Won,1.0,129.16,2024-04-09,2024-04-20,Email,New Business,Q4 2016,129.16
OPP_000101,1970f2fb4b83ff962a75b064abc37f4c,Deal 1970f2fb,Closed Won,1.0,653.39,2024-04-10,2024-04-20,Direct,New Business,Q4 2016,653.39
OPP_000102,2631dba338efbcea9c3ace77ce210c01,Deal 2631dba3,Closed Won,1.0,594.46,2024-04-20,2024-04-20,Web,New Business,Q4 2016,594.46
OPP_000103,f781dacd75aa73166785a35929546894,Deal f781dacd,Closed Won,1.0,250.69,2024-04-15,2024-04-20,Web,New Business,Q4 2016,250.69
OPP_000104,ab8e5f9b860cd703f5f647200c2c7b58,Deal ab8e5f9b,Closed Won,1.0,35.42,2024-04-16,2024-04-20,Web,New Business,Q4 2016,35.42
OPP_000105,a241bea87dcdd0160ca94ebdba5bdbb9,Deal a241bea8,Closed Won,1.0,297.35,2024-04-13,2024-04-20,Paid Search,New Business,Q4 2016,297.35
OPP_000106,f205336be829af209878b6339cf02c7e,Deal f205336b,Closed Won,1.0,74.59,2024-04-18,2024-04-20,Email,New Business,Q4 2016,74.59
OPP_000107,1c4cafd25254eee31c8c9b8c141fb10a,Deal 1c4cafd2,Closed Won,1.0,671.31,2024-04-17,2024-04-20,Referral,New Business,Q4 2016,671.31
OPP_000108,7cb5aaf8b7b7b439174c2e4efdf4c7a3,Deal 7cb5aaf8,Closed Won,1.0,126.25,2024-04-07,2024-04-20,Referral,New Business,Q4 2016,126.25
OPP_000109,05bfcf9e287cad216cadb8a850f8db5c,Deal 05bfcf9e,Closed Won,1.0,534.98,2024-04-08,2024-04-20,Paid Search,New Business,Q4 2016,534.98
OPP_000110,1b2d622f7ebb8e65f7de3e389f052540,Deal 1b2d622f,Closed Won,1.0,51.93,2024-04-19,2024-04-20,Referral,New Business,Q4 2016,51.93
OPP_000111,59fa27082bb77c5dbd8a6568f3b34380,Deal 59fa2708,Closed Won,1.0,144.94,2024-04-18,2024-04-20,Web,New Business,Q4 2016,144.94
OPP_000112,f31853a4f30d4851c847e4494663e749,Deal f31853a4,Closed Won,1.0,176.23,2024-04-10,2024-04-20,Paid Search,New Business,Q4 2016,176.23
OPP_000113,dc91dbf7defabdf37c52672a989bad1b,Deal dc91dbf7,Closed Won,1.0,127.86,2024-04-17,2024-04-20,Paid Search,New Business,Q4 2016,127.86
OPP_000114,b8b9d7046c083150cb5360b83a8ebb51,Deal b8b9d704,Closed Won,1.0,119.79,2024-04-11,2024-04-20,Web,New Business,Q4 2016,119.79
OPP_000115,d743f434cc2921729af830ce00d474b3,Deal d743f434,Closed Won,1.0,116.16,2024-04-15,2024-04-20,Web,New Business,Q4 2016,116.16
OPP_000116,9aa3197e4887919fde0307fc23601d7a,Deal 9aa3197e,Closed Won,1.0,34.62,2024-04-11,2024-04-20,Paid Search,New Business,Q4 2016,34.62
OPP_000117,11837ac14fcdfb163c0b78d91be89498,Deal 11837ac1,Closed Won,1.0,55.95,2024-04-18,2024-04-20,Paid Search,New Business,Q4 2016,55.95
OPP_000118,262118ce178bb3e4590a3adcf6d62e6b,Deal 262118ce,Closed Won,1.0,126.12,2024-04-07,2024-04-20,Social Media,New Business,Q4 2016,126.12
OPP_000119,b1d88d1e4179448cac98b8d433e23316,Deal b1d88d1e,Closed Won,1.0,107.37,2024-04-16,2024-04-20,Paid Search,New Business,Q4 2016,107.37
OPP_000120,10d1e90a86d2be981a52b6a927c97dc5,Deal 10d1e90a,Closed Won,1.0,467.2,2024-04-09,2024-04-20,Social Media,New Business,Q4 2016,467.2
OPP_000121,4eca6c2d172953276c75dd0e1bedce25,Deal 4eca6c2d,Closed Won,1.0,74.83,2024-04-19,2024-04-20,Direct,New Business,Q4 2016,74.83
OPP_000122,b7026ba7432929d99880463305b8ce98,Deal b7026ba7,Closed Won,1.0,162.6,2024-04-19,2024-04-20,Paid Search,New Business,Q4 2016,162.6
OPP_000123,ed90ba41c41da31da8e891ff43a584d1,Deal ed90ba41,Closed Won,1.0,156.22,2024-04-16,2024-04-20,Email,New Business,Q4 2016,156.22
OPP_000124,7d0eb8de17d494f4151e4470cd1b0605,Deal 7d0eb8de,Closed Won,1.0,91.28,2024-04-12,2024-04-20,Referral,New Business,Q4 2016,91.28
OPP_000125,2276cb38c742033aac3f4a4d67b57ab3,Deal 2276cb38,Closed Won,1.0,105.39,2024-04-12,2024-04-20,Social Media,New Business,Q4 2016,105.39
OPP_000126,1add1aa4c6e709fd74a4eb691a9fc6bc,Deal 1add1aa4,Closed Won,1.0,74.15,2024-04-16,2024-04-20,Referral,New Business,Q4 2016,74.15
OPP_000127,ac00d3859c095d282f6bef69e0ed1b38,Deal ac00d385,Closed Won,1.0,89.16,2024-04-12,2024-04-20,Email,New Business,Q4 2016,89.16
OPP_000128,509a52223ecac6d67fb765b3b37c6974,Deal 509a5222,Closed Won,1.0,65.7,2024-04-12,2024-04-20,Web,New Business,Q4 2016,65.7
OPP_000129,0e556f5eafbf3eb399290101b183b10e,Deal 0e556f5e,Closed Won,1.0,81.9,2024-04-19,2024-04-20,Social Media,New Business,Q4 2016,81.9
OPP_000130,3d58fd1ee438a43f2a826dda6b013519,Deal 3d58fd1e,Closed Won,1.0,61.06,2024-04-09,2024-04-20,Referral,New Business,Q4 2016,61.06
OPP_000131,d2945e686c883978378a10e49be7fb24,Deal d2945e68,Closed Won,1.0,99.23,2024-04-12,2024-04-20,Direct,New Business,Q4 2016,99.23
OPP_000132,323dad8c483c7f8b818a825d257f4aa0,Deal 323dad8c,Closed Won,1.0,38.62,2024-04-16,2024-04-20,Web,New Business,Q4 2016,38.62
OPP_000133,e2144124f98f3bf46939bc5183104041,Deal e2144124,Closed Won,1.0,50.86,2024-04-10,2024-04-20,Email,New Business,Q4 2016,50.86
OPP_000134,6ece326e25f193d084e3dc092bbdd93b,Deal 6ece326e,Closed Won,1.0,85.82,2024-04-20,2024-04-20,Social Media,New Business,Q4 2016,85.82
OPP_000135,0d9664d8da1dc4337269071b39e19423,Deal 0d9664d8,Closed Won,1.0,267.49,2024-04-16,2024-04-20,Direct,New Business,Q4 2016,267.49
OPP_000136,1a2b0033f0b7a3116f00594ec5524344,Deal 1a2b0033,Closed Won,1.0,87.57,2024-04-11,2024-04-20,Referral,New Business,Q4 2016,87.57
OPP_000137,517e0a52c193102990befc46a5c5245a,Deal 517e0a52,Closed Won,1.0,91.16,2024-04-12,2024-04-20,Web,New Business,Q4 2016,91.16
OPP_000138,ce9840efc17fbec501472f7c784be1bf,Deal ce9840ef,Closed Won,1.0,33.42,2024-04-09,2024-04-20,Paid Search,New Business,Q4 2016,33.42
OPP_000139,5cd498954e2b37d71b315166809b4bd7,Deal 5cd49895,Closed Won,1.0,181.59,2024-04-19,2024-04-21,Paid Search,New Business,Q4 2016,181.59
OPP_000140,05c7d88e9c05e1fa1428f1ff2dcc29da,Deal 05c7d88e,Closed Won,1.0,144.94,2024-04-11,2024-04-21,Web,New Business,Q4 2016,144.94
OPP_000141,835bf4777ad72891587719f1098e3528,Deal 835bf477,Closed Won,1.0,41.93,2024-04-08,2024-04-21,Paid Search,New Business,Q4 2016,41.93
OPP_000142,e90f9a57c17a06b37c5830a2ab1bd209,Deal e90f9a57,Closed Won,1.0,611.56,2024-04-08,2024-04-21,Web,New Business,Q4 2016,611.56
OPP_000143,8e7ef380ad5ae407dffbe2f0826cae73,Deal 8e7ef380,Closed Won,1.0,47.42,2024-04-14,2024-04-21,Web,New Business,Q4 2016,47.42
OPP_000144,9315757eaf0e782619bed131508dbddb,Deal 9315757e,Closed Won,1.0,150.46,2024-04-21,2024-04-21,Email,New Business,Q4 2016,150.46
OPP_000145,76458889992169d3135b264dc13aec67,Deal 76458889,Closed Won,1.0,85.58,2024-04-17,2024-04-21,Email,New Business,Q4 2016,85.58
OPP_000146,5fe46d14177744ae2180101ce19bb414,Deal 5fe46d14,Closed Won,1.0,41.18,2024-04-21,2024-04-21,Paid Search,New Business,Q4 2016,41.18
OPP_000147,7ac6f4778cd283c6b76c66fe1e0d4431,Deal 7ac6f477,Closed Won,1.0,455.01,2024-04-18,2024-04-21,Web,New Business,Q4 2016,455.01
OPP_000148,676157c2d1075c88ea0009f8d7d2d389,Deal 676157c2,Closed Won,1.0,76.6,2024-04-17,2024-04-21,Paid Search,New Business,Q4 2016,76.6
OPP_000149,f688669f48063536e082bb32d634cd46,Deal f688669f,Closed Won,1.0,111.22,2024-04-08,2024-04-21,Web,New Business,Q4 2016,111.22
OPP_000150,1dd1d53c1ea5df0ef093bf150807315f,Deal 1dd1d53c,Closed Won,1.0,87.53,2024-04-09,2024-04-21,Web,New Business,Q4 2016,87.53
OPP_000151,5c973d2b4652e1dec15353b59339f3b4,Deal 5c973d2b,Closed Won,1.0,363.51,2024-04-20,2024-04-21,Web,New Business,Q4 2016,363.51
OPP_000152,02190241f7190a1f3c7e0df95a749c6a,Deal 02190241,Closed Won,1.0,521.46,2024-04-19,2024-04-21,Email,New Business,Q4 2016,521.46
OPP_000153,640aef9709beda161ca0b5af58ac437c,Deal 640aef97,Closed Won,1.0,286.55,2024-04-09,2024-04-21,Social Media,New Business,Q4 2016,286.55
OPP_000154,f7310018040436b01ab03f81b301b5de,Deal f7310018,Closed Won,1.0,363.39,2024-04-12,2024-04-21,Email,New Business,Q4 2016,363.39
OPP_000155,a8846701b9f3e21e64c9062ed3f4dfd7,Deal a8846701,Closed Won,1.0,96.23,2024-04-10,2024-04-21,Paid Search,New Business,Q4 2016,96.23
OPP_000156,6ef172eee30cfbfa01516ce2eb2ee68f,Deal 6ef172ee,Closed Won,1.0,29.86,2024-04-15,2024-04-21,Paid Search,New Business,Q4 2016,29.86
OPP_000157,06d7e8a85f5cfef576c5303ed7d7f2e5,Deal 06d7e8a8,Closed Won,1.0,72.02,2024-04-09,2024-04-21,Paid Search,New Business,Q4 2016,72.02
OPP_000158,fd4b04818375a4ba579a80c8d37f1b24,Deal fd4b0481,Closed Won,1.0,42.42,2024-04-11,2024-04-21,Social Media,New Business,Q4 2016,42.42
OPP_000159,95d31d53ccc53bca2c13fcd535d67526,Deal 95d31d53,Closed Won,1.0,192.55,2024-04-14,2024-04-21,Paid Search,New Business,Q4 2016,192.55
OPP_000160,98beb6d036255a151fd6d5000ad66da8,Deal 98beb6d0,Closed Won,1.0,72.6,2024-04-12,2024-04-21,Web,New Business,Q4 2016,72.6
OPP_000161,555761ab2426364f42e9e018047df4e0,Deal 555761ab,Closed Won,1.0,113.17,2024-04-14,2024-04-21,Paid Search,New Business,Q4 2016,113.17
