date,campaign_id,campaign_name,objective,impressions,reach,spend,link_clicks,ctr,cpc,cpm,purchases,purchase_value,cost_per_purchase,roas
2024-07-23,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,17965,12540,105.48,292,1.63,0.36,5.87,13,1735.93,8.11,16.46
2024-07-23,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,6464,4668,31.71,154,2.38,0.21,4.91,3,405.05,10.57,12.77
2024-07-24,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,6845,5023,26.54,80,1.17,0.33,3.88,1,175.71,26.54,6.62
2024-07-24,META_C002,Retargeting - Add to Cart,CONVERSIONS,13262,9086,34.85,144,1.09,0.24,2.63,8,1141.16,4.36,32.74
2024-07-24,META_C003,Brand Awareness - Video,AWARENESS,9293,7299,61.42,138,1.48,0.45,6.61,4,765.82,15.36,12.47
2024-07-24,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,13941,9227,45.84,173,1.24,0.26,3.29,3,487.31,15.28,10.63
2024-07-24,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,6330,4410,34.18,57,0.9,0.6,5.4,0,0.0,34.18,0.0
2024-07-25,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,15833,12103,42.9,201,1.27,0.21,2.71,7,1032.56,6.13,24.07
2024-07-25,META_C002,Retargeting - Add to Cart,CONVERSIONS,11150,7566,34.14,255,2.29,0.13,3.06,14,1350.27,2.44,39.55
2024-07-25,META_C003,Brand Awareness - Video,AWARENESS,14566,11385,90.06,300,2.06,0.3,6.95,3,478.31,30.02,5.31
2024-07-25,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,9431,7471,61.72,159,1.69,0.39,6.54,2,271.72,30.86,4.4
2024-07-25,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,9562,6174,64.0,179,1.87,0.36,6.69,9,1712.85,7.11,26.76
2024-07-26,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,15270,9834,96.56,361,2.36,0.27,6.32,16,2822.07,6.04,29.23
2024-07-26,META_C002,Retargeting - Add to Cart,CONVERSIONS,5922,4415,37.55,50,0.84,0.75,6.34,2,189.53,18.77,5.05
2024-07-26,META_C003,Brand Awareness - Video,AWARENESS,12911,9984,37.64,275,2.13,0.14,2.92,8,814.26,4.71,21.63
2024-07-26,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,14867,12076,77.6,122,0.82,0.64,5.22,5,752.58,15.52,9.7
2024-07-26,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,13390,10756,60.04,321,2.4,0.19,4.48,11,1734.51,5.46,28.89
2024-07-27,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,17121,14260,88.11,427,2.49,0.21,5.15,18,2428.7,4.89,27.56
2024-07-27,META_C002,Retargeting - Add to Cart,CONVERSIONS,12189,8580,81.23,268,2.2,0.3,6.66,13,2348.8,6.25,28.92
2024-07-27,META_C003,Brand Awareness - Video,AWARENESS,14332,11662,61.04,319,2.23,0.19,4.26,11,1144.12,5.55,18.74
2024-07-27,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,6322,4044,37.96,72,1.14,0.53,6.0,3,362.83,12.65,9.56
2024-07-27,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,15267,11025,90.25,212,1.39,0.43,5.91,11,1032.72,8.2,11.44
2024-07-28,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,17666,13462,79.07,178,1.01,0.44,4.48,6,1190.16,13.18,15.05
2024-07-28,META_C002,Retargeting - Add to Cart,CONVERSIONS,7905,6170,35.48,90,1.14,0.39,4.49,3,593.43,11.83,16.73
2024-07-28,META_C003,Brand Awareness - Video,AWARENESS,7377,5599,38.09,136,1.84,0.28,5.16,4,367.45,9.52,9.65
2024-07-28,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,16681,13457,53.98,351,2.1,0.15,3.24,20,3892.5,2.7,72.11
2024-07-28,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,16671,10662,113.19,240,1.44,0.47,6.79,7,984.13,16.17,8.69
2024-07-29,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,13461,8954,33.79,208,1.55,0.16,2.51,5,870.48,6.76,25.76
2024-07-29,META_C002,Retargeting - Add to Cart,CONVERSIONS,6208,5148,41.58,127,2.05,0.33,6.7,1,138.2,41.58,3.32
2024-07-29,META_C003,Brand Awareness - Video,AWARENESS,6534,5533,26.13,138,2.11,0.19,4.0,7,1211.77,3.73,46.37
2024-07-29,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,13703,9818,72.71,315,2.3,0.23,5.31,11,1038.56,6.61,14.28
2024-07-29,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,16942,12237,111.3,370,2.18,0.3,6.57,4,468.71,27.82,4.21
2024-07-30,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,16357,13490,75.22,179,1.09,0.42,4.6,10,1134.45,7.52,15.08
2024-07-30,META_C002,Retargeting - Add to Cart,CONVERSIONS,7320,5601,26.1,59,0.81,0.44,3.57,0,0.0,26.1,0.0
2024-07-30,META_C003,Brand Awareness - Video,AWARENESS,11242,7204,53.67,260,2.31,0.21,4.77,2,394.78,26.84,7.36
2024-07-30,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,13041,8319,34.23,156,1.2,0.22,2.62,3,350.89,11.41,10.25
2024-07-30,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,13382,9881,37.13,287,2.14,0.13,2.77,4,751.49,9.28,20.24
2024-07-31,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,12433,10414,38.68,235,1.89,0.16,3.11,9,1320.13,4.3,34.13
2024-07-31,META_C002,Retargeting - Add to Cart,CONVERSIONS,5112,4268,28.07,42,0.82,0.67,5.49,0,0.0,28.07,0.0
2024-07-31,META_C003,Brand Awareness - Video,AWARENESS,12905,9355,49.97,216,1.67,0.23,3.87,2,242.14,24.98,4.85
2024-07-31,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,5502,4539,32.36,72,1.31,0.45,5.88,3,469.01,10.79,14.49
2024-07-31,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,10781,7068,64.09,129,1.2,0.5,5.94,2,333.17,32.05,5.2
2024-08-01,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,17696,13935,66.64,257,1.45,0.26,3.77,13,2273.06,5.13,34.11
2024-08-01,META_C002,Retargeting - Add to Cart,CONVERSIONS,12574,8408,86.79,308,2.45,0.28,6.9,12,2163.97,7.23,24.93
2024-08-01,META_C003,Brand Awareness - Video,AWARENESS,15532,10629,85.44,327,2.11,0.26,7.03,19,2418.32,4.5,28.3
2024-08-01,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,13355,9890,80.87,243,1.82,0.33,6.06,12,1492.22,6.74,18.45
2024-08-01,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,7817,5531,44.19,152,1.94,0.29,5.65,4,710.05,11.05,16.07
2024-08-02,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,5286,4054,29.17,106,2.01,0.28,5.52,5,947.53,5.83,32.48
2024-08-02,META_C002,Retargeting - Add to Cart,CONVERSIONS,13710,9220,90.14,208,1.52,0.43,6.57,9,1669.01,10.02,18.52
2024-08-02,META_C003,Brand Awareness - Video,AWARENESS,17678,14815,70.03,174,0.98,0.4,3.96,3,561.2,23.34,8.01
2024-08-02,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,9563,7221,53.52,106,1.11,0.5,5.6,2,278.63,26.76,5.21
2024-08-02,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,9615,8131,61.61,220,2.29,0.28,6.41,6,1058.65,10.27,17.18
2024-08-03,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,7752,6147,35.59,98,1.26,0.36,4.59,2,344.84,17.8,9.69
2024-08-03,META_C002,Retargeting - Add to Cart,CONVERSIONS,5763,4408,33.64,120,2.08,0.28,5.84,2,309.16,16.82,9.19
2024-08-03,META_C003,Brand Awareness - Video,AWARENESS,17223,12963,91.87,235,1.36,0.39,5.33,10,1907.86,9.19,20.77
2024-08-03,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,4943,4041,17.05,111,2.25,0.15,3.45,5,940.56,3.41,55.16
2024-08-03,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,17213,12252,95.54,240,1.39,0.4,5.55,7,1202.17,13.65,12.58
2024-08-04,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,11419,9175,68.25,213,1.87,0.32,5.98,6,841.38,11.38,12.33
2024-08-04,META_C002,Retargeting - Add to Cart,CONVERSIONS,15602,11497,103.77,271,1.74,0.38,6.65,12,1130.62,8.65,10.9
2024-08-04,META_C003,Brand Awareness - Video,AWARENESS,5157,3201,23.21,127,2.46,0.18,4.5,4,651.46,5.8,28.07
2024-08-04,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,8480,5770,34.01,136,1.6,0.25,4.01,4,620.48,8.5,18.24
2024-08-04,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,14948,9306,91.62,289,1.93,0.32,6.13,7,945.23,13.09,10.32
2024-08-05,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,7851,6632,37.57,128,1.63,0.29,4.79,2,291.64,18.79,7.76
2024-08-05,META_C002,Retargeting - Add to Cart,CONVERSIONS,5322,4396,33.68,97,1.82,0.35,6.33,3,598.92,11.23,17.78
2024-08-05,META_C003,Brand Awareness - Video,AWARENESS,8469,6732,43.96,186,2.2,0.24,5.19,11,1701.87,4.0,38.71
2024-08-05,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,7499,5443,43.59,60,0.8,0.73,5.81,2,231.75,21.8,5.32
2024-08-05,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,16348,10433,91.53,229,1.4,0.4,5.6,13,1513.84,7.04,16.54
2024-08-06,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,6054,3737,29.19,82,1.35,0.36,4.82,3,290.14,9.73,9.94
2024-08-06,META_C002,Retargeting - Add to Cart,CONVERSIONS,16116,12959,114.91,226,1.4,0.51,7.13,6,1032.34,19.15,8.98
2024-08-06,META_C003,Brand Awareness - Video,AWARENESS,6569,4457,19.5,114,1.74,0.17,2.97,2,185.86,9.75,9.53
2024-08-06,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,14295,8648,101.1,275,1.92,0.37,7.07,8,772.51,12.64,7.64
2024-08-06,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,11032,8044,71.74,103,0.93,0.7,6.5,2,248.62,35.87,3.47
2024-08-07,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,6336,4525,45.14,130,2.05,0.35,7.12,5,917.45,9.03,20.32
2024-08-07,META_C002,Retargeting - Add to Cart,CONVERSIONS,7647,6029,50.7,106,1.39,0.48,6.63,6,1055.32,8.45,20.81
2024-08-07,META_C003,Brand Awareness - Video,AWARENESS,8530,6320,37.03,119,1.4,0.31,4.34,2,328.45,18.52,8.87
2024-08-07,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,15076,12339,47.42,185,1.23,0.26,3.15,5,945.79,9.48,19.94
2024-08-07,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,10799,7011,34.2,226,2.09,0.15,3.17,13,2295.99,2.63,67.13
2024-08-08,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,16376,12887,109.69,389,2.38,0.28,6.7,11,2105.15,9.97,19.19
2024-08-08,META_C002,Retargeting - Add to Cart,CONVERSIONS,5799,4516,34.4,122,2.1,0.28,5.93,3,453.89,11.47,13.19
2024-08-08,META_C003,Brand Awareness - Video,AWARENESS,9638,6255,34.63,167,1.73,0.21,3.59,9,1713.6,3.85,49.48
2024-08-08,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,5522,3423,19.75,53,0.96,0.37,3.58,1,154.65,19.75,7.83
2024-08-08,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,12431,9147,50.04,274,2.2,0.18,4.03,7,695.86,7.15,13.91
2024-08-09,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,8711,5525,40.45,138,1.58,0.29,4.64,2,342.52,20.23,8.47
2024-08-09,META_C002,Retargeting - Add to Cart,CONVERSIONS,5163,3813,16.59,117,2.27,0.14,3.21,5,504.42,3.32,30.41
2024-08-09,META_C003,Brand Awareness - Video,AWARENESS,13565,10213,63.38,313,2.31,0.2,4.67,6,802.88,10.56,12.67
2024-08-09,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,9144,7249,62.17,197,2.15,0.32,6.8,11,1833.54,5.65,29.49
2024-08-09,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,14713,12442,35.8,302,2.05,0.12,2.43,16,2995.57,2.24,83.68
2024-08-10,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,15913,13310,79.24,130,0.82,0.61,4.98,4,551.52,19.81,6.96
2024-08-10,META_C002,Retargeting - Add to Cart,CONVERSIONS,10756,7530,73.2,242,2.25,0.3,6.81,13,1884.29,5.63,25.74
2024-08-10,META_C003,Brand Awareness - Video,AWARENESS,10699,8454,62.04,104,0.97,0.6,5.8,2,208.83,31.02,3.37
2024-08-10,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,8690,5782,47.46,170,1.96,0.28,5.46,9,1586.29,5.27,33.42
2024-08-10,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,14407,10135,57.04,337,2.34,0.17,3.96,10,909.97,5.7,15.95
2024-08-11,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,15261,10244,37.35,256,1.68,0.15,2.45,11,2096.77,3.4,56.14
2024-08-11,META_C002,Retargeting - Add to Cart,CONVERSIONS,11943,8668,45.33,257,2.15,0.18,3.8,8,863.9,5.67,19.06
2024-08-11,META_C003,Brand Awareness - Video,AWARENESS,6047,4343,28.01,96,1.59,0.29,4.63,1,145.86,28.01,5.21
2024-08-11,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,16769,10729,95.76,347,2.07,0.28,5.71,6,1161.46,15.96,12.13
2024-08-11,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,12996,10549,46.57,276,2.12,0.17,3.58,8,1057.88,5.82,22.72
2024-08-12,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,13482,8404,79.96,151,1.12,0.53,5.93,6,604.89,13.33,7.56
2024-08-12,META_C002,Retargeting - Add to Cart,CONVERSIONS,17628,14403,95.3,407,2.31,0.23,5.41,9,1650.92,10.59,17.32
2024-08-12,META_C003,Brand Awareness - Video,AWARENESS,7371,5184,37.44,62,0.84,0.6,5.08,1,156.94,37.44,4.19
2024-08-12,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,9517,7554,52.61,99,1.04,0.53,5.53,4,558.21,13.15,10.61
2024-08-12,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,7030,4791,27.1,121,1.72,0.22,3.85,5,766.51,5.42,28.28
2024-08-13,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,15707,9925,70.54,306,1.95,0.23,4.49,13,2212.42,5.43,31.36
2024-08-13,META_C002,Retargeting - Add to Cart,CONVERSIONS,13398,8354,76.87,333,2.49,0.23,5.74,14,2317.72,5.49,30.15
2024-08-13,META_C003,Brand Awareness - Video,AWARENESS,11595,9472,83.31,213,1.84,0.39,7.18,2,339.88,41.66,4.08
2024-08-13,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,14153,11235,42.43,184,1.3,0.23,3.0,8,931.53,5.3,21.95
2024-08-13,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,13828,9316,33.78,137,0.99,0.25,2.44,5,959.09,6.76,28.39
2024-08-14,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,17594,11594,110.57,410,2.33,0.27,6.28,20,1962.63,5.53,17.75
2024-08-14,META_C002,Retargeting - Add to Cart,CONVERSIONS,10174,6962,62.76,199,1.96,0.32,6.17,7,1381.24,8.97,22.01
2024-08-14,META_C003,Brand Awareness - Video,AWARENESS,17178,12143,100.89,399,2.32,0.25,5.87,5,616.14,20.18,6.11
2024-08-14,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,9027,6396,29.0,173,1.92,0.17,3.21,6,979.42,4.83,33.77
2024-08-14,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,5677,4649,39.21,130,2.29,0.3,6.91,2,355.44,19.61,9.07
2024-08-15,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,6372,4473,25.2,83,1.3,0.3,3.95,3,391.24,8.4,15.53
2024-08-15,META_C002,Retargeting - Add to Cart,CONVERSIONS,16162,12258,55.49,362,2.24,0.15,3.43,10,1489.38,5.55,26.84
2024-08-15,META_C003,Brand Awareness - Video,AWARENESS,13366,9181,50.94,155,1.16,0.33,3.81,3,290.49,16.98,5.7
2024-08-15,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,8812,5993,61.83,188,2.13,0.33,7.02,2,203.44,30.91,3.29
2024-08-15,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,15551,11754,51.58,266,1.71,0.19,3.32,13,1256.39,3.97,24.36
2024-08-16,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,21127,16463,249.79,268,1.27,0.93,11.82,12,2087.53,20.82,8.36
2024-08-16,META_C002,Retargeting - Add to Cart,CONVERSIONS,24054,19364,130.45,235,0.98,0.56,11.23,11,1295.37,11.86,9.93
2024-08-16,META_C003,Brand Awareness - Video,AWARENESS,9287,6503,87.53,180,1.94,0.49,10.56,1,102.07,87.53,1.17
2024-08-16,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,15718,9759,169.24,327,2.08,0.52,10.77,7,1032.9,24.18,6.1
2024-08-16,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,12052,8078,97.96,115,0.95,0.85,8.13,2,383.86,48.98,3.92
2024-08-17,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,17440,14557,208.08,224,1.28,0.93,11.93,11,1182.77,18.92,5.68
2024-08-17,META_C002,Retargeting - Add to Cart,CONVERSIONS,13545,10784,101.17,258,1.9,0.39,7.47,12,1245.09,8.43,12.31
2024-08-17,META_C003,Brand Awareness - Video,AWARENESS,14093,9235,99.2,283,2.01,0.35,7.04,12,1088.3,8.27,10.97
2024-08-17,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,11127,7297,68.72,166,1.49,0.41,6.18,2,345.0,34.36,5.02
2024-08-17,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,25329,18833,119.49,618,2.44,0.19,4.72,12,2010.12,9.96,16.82
2024-08-18,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,26522,19492,174.69,443,1.67,0.39,6.59,13,2499.67,13.44,14.31
2024-08-18,META_C002,Retargeting - Add to Cart,CONVERSIONS,24365,16088,148.16,252,1.03,0.59,8.68,7,1327.27,21.17,8.96
2024-08-18,META_C003,Brand Awareness - Video,AWARENESS,20477,13397,95.36,354,1.73,0.27,4.98,9,1434.11,10.6,15.04
2024-08-18,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,9511,6051,79.61,218,2.29,0.37,8.37,3,492.39,26.54,6.19
2024-08-18,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,16606,11623,168.04,337,2.03,0.5,10.12,11,1707.42,15.28,10.16
2024-08-19,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,24735,18596,220.76,596,2.41,0.37,8.92,17,2609.21,12.99,11.82
2024-08-19,META_C002,Retargeting - Add to Cart,CONVERSIONS,9898,6826,72.22,165,1.67,0.44,7.3,7,644.64,10.32,8.93
2024-08-19,META_C003,Brand Awareness - Video,AWARENESS,18218,15035,85.63,279,1.53,0.31,5.79,12,1679.89,7.14,19.62
2024-08-19,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,18119,13905,109.35,192,1.06,0.57,6.04,5,810.8,21.87,7.41
2024-08-19,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,26224,20923,184.36,264,1.01,0.7,9.77,5,925.66,36.87,5.02
2024-08-20,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,26861,22506,123.77,511,1.9,0.24,4.61,23,3698.97,5.38,29.89
2024-08-20,META_C002,Retargeting - Add to Cart,CONVERSIONS,24940,17205,133.64,204,0.82,0.66,5.44,5,500.46,26.73,3.74
2024-08-20,META_C003,Brand Awareness - Video,AWARENESS,15072,11410,101.79,185,1.23,0.55,11.16,3,333.71,33.93,3.28
2024-08-20,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,29361,21649,160.31,432,1.47,0.37,5.46,23,2729.51,6.97,17.03
2024-08-20,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,16650,12091,185.5,295,1.77,0.63,11.14,6,806.22,30.92,4.35
2024-08-21,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,29463,22154,234.99,502,1.7,0.47,10.25,15,2509.82,15.67,10.68
2024-08-21,META_C002,Retargeting - Add to Cart,CONVERSIONS,26732,19429,137.71,294,1.1,0.47,7.85,16,1996.3,8.61,14.5
2024-08-21,META_C003,Brand Awareness - Video,AWARENESS,25615,19949,103.74,476,1.86,0.22,10.33,26,2819.61,3.99,27.18
2024-08-21,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,21787,17278,134.49,462,2.12,0.29,6.17,23,2861.59,5.85,21.28
2024-08-21,META_C005,Instagram Stories - Flash Sales,CONVERSIONS,22995,15546,188.52,417,1.81,0.45,9.91,12,1293.82,15.71,6.86
2024-08-22,META_C001,Prospecting - Lookalike Purchasers,CONVERSIONS,11916,7380,106.58,99,0.83,1.08,8.94,1,140.32,106.58,1.32
2024-08-22,META_C002,Retargeting - Add to Cart,CONVERSIONS,24229,15492,134.46,358,1.48,0.38,6.17,7,901.5,19.21,6.7
2024-08-22,META_C003,Brand Awareness - Video,AWARENESS,24027,18086,97.75,387,1.61,0.25,4.65,21,2558.29,4.65,26.17
2024-08-22,META_C004,Catalog Sales - Dynamic,CATALOG_SALES,23975,18765,138.38,391,1.63,0.35,5.77,17,1802.75,8.14,13.03
