date,channel_group,device_category,sessions,engaged_sessions,bounce_rate,avg_session_duration_sec,pages_per_session,new_users,conversions,revenue,conversion_rate
2024-07-23,organic_social,mobile,52,20,61.2,90.0,1.4,34,0,0.0,0.0
2024-07-23,organic_social,desktop,35,14,59.6,169.0,1.5,19,0,0.0,0.0
2024-07-23,organic_social,tablet,11,3,65.3,56.0,4.3,7,0,0.0,0.0
2024-07-24,organic_search,mobile,382,207,45.8,62.0,2.4,265,11,987.05,2.88
2024-07-24,organic_search,desktop,247,125,49.3,66.0,5.1,159,7,1109.78,2.83
2024-07-24,organic_search,tablet,84,40,51.7,119.0,1.6,65,2,287.78,2.38
2024-07-24,paid_search,mobile,464,297,35.8,94.0,3.8,267,17,3175.3,3.66
2024-07-24,paid_search,desktop,287,189,34.1,57.0,1.8,199,10,1256.42,3.48
2024-07-24,paid_search,tablet,59,35,39.5,143.0,2.5,32,1,176.98,1.69
2024-07-24,paid_social,mobile,313,133,57.2,157.0,1.9,177,6,614.69,1.92
2024-07-24,paid_social,desktop,224,108,51.5,71.0,3.4,174,4,855.23,1.79
2024-07-24,paid_social,tablet,50,23,52.8,162.0,3.8,33,0,0.0,0.0
2024-07-24,direct,mobile,331,245,25.8,78.0,5.3,247,14,1555.31,4.23
2024-07-24,direct,desktop,212,155,26.4,205.0,5.4,118,8,1322.11,3.77
2024-07-24,direct,tablet,52,35,32.3,73.0,3.8,30,1,87.65,1.92
2024-07-24,email,mobile,150,114,23.8,85.0,5.1,75,5,416.76,3.33
2024-07-24,email,desktop,142,103,26.9,234.0,3.3,78,6,655.1,4.23
2024-07-24,email,tablet,33,25,22.7,130.0,4.2,25,1,149.54,3.03
2024-07-24,referral,mobile,122,63,47.8,124.0,4.4,93,2,308.57,1.64
2024-07-24,referral,desktop,90,49,45.3,127.0,2.3,57,1,150.61,1.11
2024-07-24,referral,tablet,23,12,45.6,187.0,2.9,14,0,0.0,0.0
2024-07-24,organic_social,mobile,108,41,61.9,144.0,4.5,56,1,97.38,0.93
2024-07-24,organic_social,desktop,55,21,60.2,188.0,1.4,41,0,0.0,0.0
2024-07-24,organic_social,tablet,12,5,53.8,216.0,1.7,7,0,0.0,0.0
2024-07-25,organic_search,mobile,359,214,40.4,219.0,1.8,247,7,622.12,1.95
2024-07-25,organic_search,desktop,329,194,40.9,220.0,5.1,258,10,1286.31,3.04
2024-07-25,organic_search,tablet,100,58,41.7,116.0,4.6,72,1,159.78,1.0
2024-07-25,paid_search,mobile,333,224,32.5,66.0,4.0,233,8,1275.17,2.4
2024-07-25,paid_search,desktop,196,119,39.1,232.0,1.8,121,6,881.5,3.06
2024-07-25,paid_search,tablet,86,54,36.7,179.0,1.4,54,2,347.12,2.33
2024-07-25,paid_social,mobile,311,133,57.1,155.0,2.2,178,5,855.6,1.61
2024-07-25,paid_social,desktop,203,99,50.7,84.0,4.6,129,4,657.6,1.97
2024-07-25,paid_social,tablet,48,23,50.3,198.0,3.2,37,0,0.0,0.0
2024-07-25,direct,mobile,219,149,31.5,78.0,3.2,172,9,1089.09,4.11
2024-07-25,direct,desktop,198,136,31.3,141.0,1.7,117,7,598.97,3.54
2024-07-25,direct,tablet,62,42,31.4,131.0,4.7,35,2,208.2,3.23
2024-07-25,email,mobile,152,114,24.5,149.0,5.0,116,5,1086.14,3.29
2024-07-25,email,desktop,97,71,26.6,234.0,2.6,58,3,279.79,3.09
2024-07-25,email,tablet,31,23,22.8,140.0,5.2,18,1,139.96,3.23
2024-07-25,referral,mobile,96,52,45.2,223.0,4.0,53,2,325.44,2.08
2024-07-25,referral,desktop,66,32,50.3,153.0,4.6,47,1,103.19,1.52
2024-07-25,referral,tablet,26,11,54.3,50.0,1.8,20,0,0.0,0.0
2024-07-25,organic_social,mobile,80,29,62.9,132.0,3.0,50,1,170.35,1.25
2024-07-25,organic_social,desktop,76,37,51.2,104.0,2.8,60,0,0.0,0.0
2024-07-25,organic_social,tablet,20,6,66.8,163.0,4.1,13,0,0.0,0.0
2024-07-26,organic_search,mobile,595,289,51.3,137.0,5.0,349,14,1556.43,2.35
2024-07-26,organic_search,desktop,327,171,47.6,103.0,4.6,233,6,974.31,1.83
2024-07-26,organic_search,tablet,104,61,40.9,122.0,2.0,54,1,199.07,0.96
2024-07-26,paid_search,mobile,388,256,34.0,156.0,5.0,212,12,2181.87,3.09
2024-07-26,paid_search,desktop,244,160,34.2,129.0,2.6,142,9,1894.62,3.69
2024-07-26,paid_search,tablet,85,50,40.1,139.0,4.0,65,3,289.36,3.53
2024-07-26,paid_social,mobile,321,154,51.9,130.0,3.0,174,7,606.58,2.18
2024-07-26,paid_social,desktop,206,85,58.7,175.0,4.9,151,3,370.06,1.46
2024-07-26,paid_social,tablet,76,28,62.3,165.0,3.6,53,1,217.25,1.32
2024-07-26,direct,mobile,358,244,31.6,235.0,3.2,196,14,1543.38,3.91
2024-07-26,direct,desktop,216,153,28.7,59.0,1.7,146,6,695.25,2.78
2024-07-26,direct,tablet,64,45,29.5,124.0,4.1,38,2,386.73,3.12
2024-07-26,email,mobile,208,160,22.9,161.0,2.6,141,11,997.31,5.29
2024-07-26,email,desktop,117,89,23.5,219.0,2.3,85,4,422.2,3.42
2024-07-26,email,tablet,34,26,21.8,182.0,2.2,24,1,205.01,2.94
2024-07-26,referral,mobile,160,84,47.5,60.0,2.8,116,3,363.25,1.88
2024-07-26,referral,desktop,83,42,48.6,103.0,3.6,43,1,144.25,1.2
2024-07-26,referral,tablet,29,15,45.1,190.0,4.5,16,0,0.0,0.0
2024-07-26,organic_social,mobile,106,48,54.4,72.0,2.1,57,0,0.0,0.0
2024-07-26,organic_social,desktop,60,19,67.6,105.0,2.4,40,0,0.0,0.0
2024-07-26,organic_social,tablet,18,7,57.5,57.0,4.9,13,0,0.0,0.0
2024-07-27,organic_search,mobile,569,305,46.4,63.0,4.2,376,13,2185.19,2.28
2024-07-27,organic_search,desktop,390,207,46.9,57.0,4.2,253,7,1028.0,1.79
2024-07-27,organic_search,tablet,80,38,51.3,84.0,4.0,62,2,426.79,2.5
2024-07-27,paid_search,mobile,401,261,34.7,189.0,2.5,223,15,3047.83,3.74
2024-07-27,paid_search,desktop,263,163,37.8,75.0,2.8,151,9,860.74,3.42
2024-07-27,paid_search,tablet,75,47,36.5,86.0,5.0,55,2,375.26,2.67
2024-07-27,paid_social,mobile,372,142,61.7,56.0,2.9,242,5,695.2,1.34
2024-07-27,paid_social,desktop,235,122,47.8,80.0,4.2,164,3,416.35,1.28
2024-07-27,paid_social,tablet,56,29,47.5,227.0,2.5,41,0,0.0,0.0
2024-07-27,direct,mobile,352,260,25.9,254.0,3.6,200,15,2179.03,4.26
2024-07-27,direct,desktop,236,170,27.7,191.0,3.1,186,10,1042.38,4.24
2024-07-27,direct,tablet,42,29,29.2,114.0,3.0,26,1,216.87,2.38
2024-07-27,email,mobile,163,118,27.4,162.0,2.4,105,5,893.35,3.07
2024-07-27,email,desktop,146,110,24.6,216.0,2.8,113,4,342.85,2.74
2024-07-27,email,tablet,37,27,24.5,243.0,3.3,19,1,144.0,2.7
2024-07-27,referral,mobile,142,68,51.8,123.0,2.6,91,3,631.98,2.11
2024-07-27,referral,desktop,106,45,57.2,128.0,2.2,64,2,224.31,1.89
2024-07-27,referral,tablet,17,9,44.9,98.0,2.2,12,0,0.0,0.0
2024-07-27,organic_social,mobile,84,30,63.7,68.0,1.8,59,0,0.0,0.0
2024-07-27,organic_social,desktop,76,35,53.6,65.0,2.2,59,0,0.0,0.0
2024-07-27,organic_social,tablet,20,8,57.2,55.0,3.9,13,0,0.0,0.0
2024-07-28,organic_search,mobile,502,242,51.7,126.0,2.3,355,9,1547.56,1.79
2024-07-28,organic_search,desktop,337,169,49.8,104.0,3.3,204,10,1586.55,2.97
2024-07-28,organic_search,tablet,75,40,45.7,223.0,2.5,45,2,325.36,2.67
2024-07-28,paid_search,mobile,423,257,39.1,97.0,4.7,321,9,1113.48,2.13
2024-07-28,paid_search,desktop,213,141,33.5,97.0,2.3,137,5,523.6,2.35
2024-07-28,paid_search,tablet,62,38,38.7,232.0,2.9,31,1,194.05,1.61
2024-07-28,paid_social,mobile,292,150,48.4,140.0,2.2,213,4,681.26,1.37
2024-07-28,paid_social,desktop,171,84,50.5,167.0,5.0,128,3,322.84,1.75
2024-07-28,paid_social,tablet,50,22,55.3,211.0,1.7,38,0,0.0,0.0
2024-07-28,direct,mobile,235,168,28.4,227.0,2.7,175,7,841.09,2.98
2024-07-28,direct,desktop,238,159,33.1,157.0,4.5,129,7,1257.03,2.94
2024-07-28,direct,tablet,56,37,32.5,62.0,2.8,36,2,429.81,3.57
2024-07-28,email,mobile,170,129,23.6,245.0,1.7,92,5,969.07,2.94
2024-07-28,email,desktop,102,76,25.1,186.0,2.0,80,5,450.02,4.9
2024-07-28,email,tablet,43,30,28.4,86.0,3.8,24,1,148.33,2.33
2024-07-28,referral,mobile,156,74,52.2,133.0,2.3,107,3,586.6,1.92
2024-07-28,referral,desktop,109,52,51.5,136.0,5.1,59,2,421.73,1.83
2024-07-28,referral,tablet,25,13,45.7,87.0,2.1,14,0,0.0,0.0
2024-07-28,organic_social,mobile,75,25,65.6,43.0,1.6,57,0,0.0,0.0
2024-07-28,organic_social,desktop,73,24,66.1,57.0,3.4,54,0,0.0,0.0
2024-07-28,organic_social,tablet,21,9,56.2,177.0,2.3,13,0,0.0,0.0
2024-07-29,organic_search,mobile,453,233,48.4,189.0,3.4,324,8,649.13,1.77
2024-07-29,organic_search,desktop,182,90,50.0,106.0,2.3,99,5,1023.59,2.75
2024-07-29,organic_search,tablet,82,48,40.6,195.0,4.8,60,1,106.97,1.22
2024-07-29,paid_search,mobile,299,168,43.6,127.0,3.1,160,7,1409.85,2.34
2024-07-29,paid_search,desktop,132,84,35.9,78.0,1.9,100,3,443.0,2.27
2024-07-29,paid_search,tablet,65,36,43.3,204.0,3.9,38,2,375.88,3.08
2024-07-29,paid_social,mobile,206,101,50.7,126.0,1.4,119,4,709.81,1.94
2024-07-29,paid_social,desktop,188,84,55.2,149.0,4.9,144,3,371.75,1.6
2024-07-29,paid_social,tablet,33,14,54.7,149.0,2.0,24,0,0.0,0.0
2024-07-29,direct,mobile,213,139,34.4,187.0,4.2,143,5,532.8,2.35
2024-07-29,direct,desktop,176,124,29.2,162.0,2.8,125,5,1037.33,2.84
2024-07-29,direct,tablet,42,30,28.3,66.0,5.3,23,1,135.39,2.38
2024-07-29,email,mobile,117,86,26.1,130.0,5.0,77,5,915.78,4.27
2024-07-29,email,desktop,88,63,27.3,163.0,5.1,49,3,601.28,3.41
2024-07-29,email,tablet,33,24,26.4,251.0,3.2,21,1,139.09,3.03
2024-07-29,referral,mobile,118,62,46.8,70.0,4.5,81,2,377.08,1.69
2024-07-29,referral,desktop,65,35,45.9,136.0,2.8,37,1,192.69,1.54
2024-07-29,referral,tablet,21,10,52.1,201.0,1.5,15,0,0.0,0.0
2024-07-29,organic_social,mobile,87,27,68.8,191.0,1.5,57,0,0.0,0.0
2024-07-29,organic_social,desktop,46,17,61.9,86.0,3.6,29,0,0.0,0.0
2024-07-29,organic_social,tablet,11,5,54.4,149.0,4.2,5,0,0.0,0.0
2024-07-30,organic_search,mobile,407,242,40.5,207.0,4.0,250,11,1097.65,2.7
2024-07-30,organic_search,desktop,210,125,40.3,138.0,2.3,167,6,579.56,2.86
2024-07-30,organic_search,tablet,69,41,40.3,164.0,3.1,40,1,218.83,1.45
2024-07-30,paid_search,mobile,218,141,34.9,223.0,4.5,117,7,1298.71,3.21
2024-07-30,paid_search,desktop,213,130,38.9,50.0,1.6,140,6,961.12,2.82
2024-07-30,paid_search,tablet,42,25,38.5,232.0,5.2,32,1,207.04,2.38
2024-07-30,paid_social,mobile,335,139,58.4,180.0,1.7,236,7,1188.96,2.09
2024-07-30,paid_social,desktop,208,92,55.7,166.0,4.1,136,3,461.29,1.44
2024-07-30,paid_social,tablet,39,14,62.0,176.0,2.5,23,0,0.0,0.0
2024-07-30,direct,mobile,263,175,33.4,87.0,5.0,202,8,649.99,3.04
2024-07-30,direct,desktop,133,95,28.2,118.0,3.5,95,4,822.43,3.01
2024-07-30,direct,tablet,32,23,27.8,221.0,3.6,17,1,171.59,3.12
2024-07-30,email,mobile,139,108,22.2,257.0,4.9,101,4,650.19,2.88
2024-07-30,email,desktop,104,74,28.0,127.0,1.8,66,5,838.81,4.81
2024-07-30,email,tablet,32,23,25.6,150.0,5.3,17,1,170.86,3.12
2024-07-30,referral,mobile,113,53,52.7,198.0,1.4,60,2,318.18,1.77
2024-07-30,referral,desktop,58,27,51.8,149.0,3.4,38,1,108.38,1.72
2024-07-30,referral,tablet,13,5,56.4,162.0,2.4,8,0,0.0,0.0
2024-07-30,organic_social,mobile,65,21,66.8,44.0,2.0,44,1,102.57,1.54
2024-07-30,organic_social,desktop,36,12,65.6,114.0,4.5,18,0,0.0,0.0
2024-07-30,organic_social,tablet,14,5,62.7,44.0,3.7,10,0,0.0,0.0
2024-07-31,organic_search,mobile,361,201,44.2,194.0,3.9,214,7,1158.72,1.94
2024-07-31,organic_search,desktop,240,122,49.0,149.0,2.2,180,5,415.5,2.08
2024-07-31,organic_search,tablet,68,37,44.1,149.0,4.4,43,1,176.54,1.47
2024-07-31,paid_search,mobile,270,176,34.8,173.0,5.0,136,11,1504.23,4.07
2024-07-31,paid_search,desktop,268,172,35.6,212.0,2.8,139,7,780.35,2.61
