date,campaign_id,campaign_name,campaign_type,impressions,clicks,cost,conversions,conversion_value,ctr,avg_cpc,cost_per_conversion,roas
2024-07-29,C004,Shopping - All Products,SHOPPING,3258,59,25.37,1,185.42,1.82,0.43,25.37,7.31
2024-07-29,C005,Display - Retargeting,DISPLAY,9704,42,7.53,0,0.0,0.44,0.18,7.53,0.0
2024-07-29,C006,YouTube - Brand Awareness,VIDEO,10790,154,19.22,0,0.0,1.43,0.12,19.22,0.0
2024-07-30,C001,Brand - Olist,SEARCH,3110,94,74.81,3,610.12,3.03,0.8,24.94,8.16
2024-07-30,C002,Generic - Electronics,SEARCH,2990,101,81.3,1,84.48,3.39,0.8,81.3,1.04
2024-07-30,C003,Generic - Home & Garden,SEARCH,2592,101,83.6,3,434.25,3.93,0.83,27.87,5.19
2024-07-30,C004,Shopping - All Products,SHOPPING,5743,130,52.7,2,252.96,2.27,0.41,26.35,4.8
2024-07-30,C005,Display - Retargeting,DISPLAY,8218,47,10.44,0,0.0,0.57,0.22,10.44,0.0
2024-07-30,C006,YouTube - Brand Awareness,VIDEO,9755,137,18.63,0,0.0,1.41,0.14,18.63,0.0
2024-07-31,C001,Brand - Olist,SEARCH,4453,162,82.9,5,704.44,3.65,0.51,16.58,8.5
2024-07-31,C002,Generic - Electronics,SEARCH,2688,100,63.32,2,449.74,3.74,0.63,31.66,7.1
2024-07-31,C003,Generic - Home & Garden,SEARCH,3609,129,100.83,2,169.79,3.59,0.78,50.41,1.68
2024-07-31,C004,Shopping - All Products,SHOPPING,6457,135,50.73,2,164.95,2.1,0.38,25.36,3.25
2024-07-31,C005,Display - Retargeting,DISPLAY,12744,66,11.26,0,0.0,0.52,0.17,11.26,0.0
2024-07-31,C006,YouTube - Brand Awareness,VIDEO,10588,141,14.47,0,0.0,1.34,0.1,14.47,0.0
2024-08-01,C001,Brand - Olist,SEARCH,2758,113,70.23,3,739.82,4.1,0.62,23.41,10.53
2024-08-01,C002,Generic - Electronics,SEARCH,3484,113,76.88,2,203.82,3.26,0.68,38.44,2.65
2024-08-01,C003,Generic - Home & Garden,SEARCH,2718,81,38.42,1,138.76,3.01,0.47,38.42,3.61
2024-08-01,C004,Shopping - All Products,SHOPPING,6933,137,50.37,2,173.9,1.98,0.37,25.18,3.45
2024-08-01,C005,Display - Retargeting,DISPLAY,11219,51,7.35,0,0.0,0.46,0.14,7.35,0.0
2024-08-01,C006,YouTube - Brand Awareness,VIDEO,8649,98,10.83,0,0.0,1.13,0.11,10.83,0.0
2024-08-02,C001,Brand - Olist,SEARCH,3768,109,85.06,1,127.07,2.91,0.78,85.06,1.49
2024-08-02,C002,Generic - Electronics,SEARCH,4143,159,78.44,4,649.48,3.85,0.49,19.61,8.28
2024-08-02,C003,Generic - Home & Garden,SEARCH,3748,124,75.53,2,245.83,3.32,0.61,37.77,3.25
2024-08-02,C004,Shopping - All Products,SHOPPING,6316,146,48.67,2,312.12,2.32,0.33,24.34,6.41
2024-08-02,C005,Display - Retargeting,DISPLAY,14273,64,9.95,0,0.0,0.45,0.16,9.95,0.0
2024-08-02,C006,YouTube - Brand Awareness,VIDEO,8682,96,7.9,0,0.0,1.12,0.08,7.9,0.0
2024-08-03,C001,Brand - Olist,SEARCH,4107,143,64.74,4,826.9,3.5,0.45,16.18,12.77
2024-08-03,C002,Generic - Electronics,SEARCH,3356,99,52.93,3,531.1,2.98,0.53,17.64,10.03
2024-08-03,C003,Generic - Home & Garden,SEARCH,3197,133,88.95,2,211.97,4.18,0.67,44.48,2.38
2024-08-03,C004,Shopping - All Products,SHOPPING,4746,82,21.45,1,232.45,1.73,0.26,21.45,10.84
2024-08-03,C005,Display - Retargeting,DISPLAY,10473,52,8.98,0,0.0,0.5,0.17,8.98,0.0
2024-08-03,C006,YouTube - Brand Awareness,VIDEO,13457,185,24.71,0,0.0,1.38,0.13,24.71,0.0
2024-08-04,C001,Brand - Olist,SEARCH,4401,157,102.77,5,558.99,3.58,0.65,20.55,5.44
2024-08-04,C002,Generic - Electronics,SEARCH,3129,106,66.56,2,367.61,3.4,0.63,33.28,5.52
2024-08-04,C003,Generic - Home & Garden,SEARCH,3056,110,52.89,3,266.43,3.61,0.48,17.63,5.04
2024-08-04,C004,Shopping - All Products,SHOPPING,5050,86,20.16,1,217.68,1.71,0.23,20.16,10.8
2024-08-04,C005,Display - Retargeting,DISPLAY,11938,64,13.8,0,0.0,0.54,0.22,13.8,0.0
2024-08-04,C006,YouTube - Brand Awareness,VIDEO,9547,134,18.03,0,0.0,1.41,0.13,18.03,0.0
2024-08-05,C001,Brand - Olist,SEARCH,3536,107,47.53,3,669.33,3.05,0.44,15.84,14.08
2024-08-05,C002,Generic - Electronics,SEARCH,2194,85,42.54,1,218.48,3.91,0.5,42.54,5.14
2024-08-05,C003,Generic - Home & Garden,SEARCH,3077,108,61.12,2,437.64,3.53,0.57,30.56,7.16
2024-08-05,C004,Shopping - All Products,SHOPPING,4316,82,26.45,2,330.92,1.9,0.32,13.22,12.51
2024-08-05,C005,Display - Retargeting,DISPLAY,9400,54,9.15,0,0.0,0.58,0.17,9.15,0.0
2024-08-05,C006,YouTube - Brand Awareness,VIDEO,6469,91,10.89,0,0.0,1.41,0.12,10.89,0.0
2024-08-06,C001,Brand - Olist,SEARCH,3001,106,83.61,2,265.99,3.55,0.79,41.8,3.18
2024-08-06,C002,Generic - Electronics,SEARCH,2377,91,39.17,3,687.15,3.84,0.43,13.06,17.54
2024-08-06,C003,Generic - Home & Garden,SEARCH,2534,100,46.26,2,295.08,3.95,0.46,23.13,6.38
2024-08-06,C004,Shopping - All Products,SHOPPING,5279,90,24.39,2,377.99,1.72,0.27,12.2,15.5
2024-08-06,C005,Display - Retargeting,DISPLAY,12503,63,9.66,0,0.0,0.51,0.15,9.66,0.0
2024-08-06,C006,YouTube - Brand Awareness,VIDEO,8820,101,10.85,0,0.0,1.15,0.11,10.85,0.0
2024-08-07,C001,Brand - Olist,SEARCH,3512,128,54.28,5,880.36,3.66,0.42,10.86,16.22
2024-08-07,C002,Generic - Electronics,SEARCH,3912,160,113.77,5,915.71,4.09,0.71,22.75,8.05
2024-08-07,C003,Generic - Home & Garden,SEARCH,3340,127,102.32,3,297.75,3.83,0.81,34.11,2.91
2024-08-07,C004,Shopping - All Products,SHOPPING,7229,164,40.67,4,672.81,2.27,0.25,10.17,16.54
2024-08-07,C005,Display - Retargeting,DISPLAY,14766,70,9.04,0,0.0,0.48,0.13,9.04,0.0
2024-08-07,C006,YouTube - Brand Awareness,VIDEO,9451,108,12.2,0,0.0,1.15,0.11,12.2,0.0
2024-08-08,C001,Brand - Olist,SEARCH,3998,137,69.88,2,219.97,3.43,0.51,34.94,3.15
2024-08-08,C002,Generic - Electronics,SEARCH,3496,118,94.11,3,562.45,3.39,0.8,31.37,5.98
2024-08-08,C003,Generic - Home & Garden,SEARCH,2477,92,45.14,1,150.49,3.73,0.49,45.14,3.33
2024-08-08,C004,Shopping - All Products,SHOPPING,4206,100,33.12,1,207.49,2.4,0.33,33.12,6.26
2024-08-08,C005,Display - Retargeting,DISPLAY,11563,67,9.89,0,0.0,0.58,0.15,9.89,0.0
2024-08-08,C006,YouTube - Brand Awareness,VIDEO,10908,108,14.09,0,0.0,0.99,0.13,14.09,0.0
2024-08-09,C001,Brand - Olist,SEARCH,3291,117,56.3,4,963.36,3.58,0.48,14.07,17.11
2024-08-09,C002,Generic - Electronics,SEARCH,3233,102,69.84,1,106.55,3.18,0.68,69.84,1.53
2024-08-09,C003,Generic - Home & Garden,SEARCH,3953,147,62.88,3,582.67,3.72,0.43,20.96,9.27
2024-08-09,C004,Shopping - All Products,SHOPPING,3986,67,26.59,1,120.49,1.68,0.4,26.59,4.53
2024-08-09,C005,Display - Retargeting,DISPLAY,10635,47,9.92,0,0.0,0.45,0.21,9.92,0.0
2024-08-09,C006,YouTube - Brand Awareness,VIDEO,11558,122,11.6,0,0.0,1.06,0.1,11.6,0.0
2024-08-10,C001,Brand - Olist,SEARCH,2886,81,39.86,2,463.51,2.84,0.49,19.93,11.63
2024-08-10,C002,Generic - Electronics,SEARCH,4166,136,71.34,4,502.28,3.28,0.52,17.84,7.04
2024-08-10,C003,Generic - Home & Garden,SEARCH,3760,126,81.45,3,723.71,3.37,0.65,27.15,8.89
2024-08-10,C004,Shopping - All Products,SHOPPING,6485,111,45.73,3,647.93,1.71,0.41,15.24,14.17
2024-08-10,C005,Display - Retargeting,DISPLAY,13371,54,8.39,0,0.0,0.4,0.16,8.39,0.0
2024-08-10,C006,YouTube - Brand Awareness,VIDEO,8227,111,16.19,0,0.0,1.36,0.15,16.19,0.0
2024-08-11,C001,Brand - Olist,SEARCH,2488,101,47.02,2,348.42,4.08,0.47,23.51,7.41
2024-08-11,C002,Generic - Electronics,SEARCH,3817,151,75.87,3,699.01,3.96,0.5,25.29,9.21
2024-08-11,C003,Generic - Home & Garden,SEARCH,4285,155,103.33,3,706.35,3.64,0.67,34.44,6.84
2024-08-11,C004,Shopping - All Products,SHOPPING,5327,101,33.83,1,205.47,1.91,0.33,33.83,6.07
2024-08-11,C005,Display - Retargeting,DISPLAY,10495,54,8.24,0,0.0,0.52,0.15,8.24,0.0
2024-08-11,C006,YouTube - Brand Awareness,VIDEO,11879,130,14.97,0,0.0,1.1,0.12,14.97,0.0
2024-08-12,C001,Brand - Olist,SEARCH,3190,98,42.09,3,266.23,3.1,0.43,14.03,6.33
2024-08-12,C002,Generic - Electronics,SEARCH,2793,101,56.13,1,92.77,3.64,0.56,56.13,1.65
2024-08-12,C003,Generic - Home & Garden,SEARCH,3183,111,78.06,2,438.49,3.49,0.7,39.03,5.62
2024-08-12,C004,Shopping - All Products,SHOPPING,5284,113,31.7,2,191.14,2.16,0.28,15.85,6.03
2024-08-12,C005,Display - Retargeting,DISPLAY,14004,59,14.1,0,0.0,0.43,0.24,14.1,0.0
2024-08-12,C006,YouTube - Brand Awareness,VIDEO,10279,134,17.79,0,0.0,1.31,0.13,17.79,0.0
2024-08-13,C001,Brand - Olist,SEARCH,2379,82,41.71,3,260.11,3.49,0.51,13.9,6.24
2024-08-13,C002,Generic - Electronics,SEARCH,3145,128,62.94,5,428.85,4.1,0.49,12.59,6.81
2024-08-13,C003,Generic - Home & Garden,SEARCH,3131,100,80.15,4,642.47,3.22,0.8,20.04,8.02
2024-08-13,C004,Shopping - All Products,SHOPPING,5453,124,36.07,1,181.37,2.28,0.29,36.07,5.03
2024-08-13,C005,Display - Retargeting,DISPLAY,9385,39,5.15,0,0.0,0.42,0.13,5.15,0.0
2024-08-13,C006,YouTube - Brand Awareness,VIDEO,6209,69,7.81,0,0.0,1.11,0.11,7.81,0.0
2024-08-14,C001,Brand - Olist,SEARCH,4310,157,80.62,6,501.69,3.66,0.51,13.44,6.22
2024-08-14,C002,Generic - Electronics,SEARCH,4286,151,121.95,6,837.73,3.54,0.81,20.32,6.87
2024-08-14,C003,Generic - Home & Garden,SEARCH,4061,136,83.83,5,1236.47,3.36,0.62,16.77,14.75
2024-08-14,C004,Shopping - All Products,SHOPPING,6501,125,39.18,2,197.56,1.93,0.31,19.59,5.04
2024-08-14,C005,Display - Retargeting,DISPLAY,12778,58,9.21,0,0.0,0.46,0.16,9.21,0.0
2024-08-14,C006,YouTube - Brand Awareness,VIDEO,13572,158,16.08,0,0.0,1.17,0.1,16.08,0.0
2024-08-15,C001,Brand - Olist,SEARCH,4101,119,70.26,4,637.83,2.93,0.59,17.57,9.08
2024-08-15,C002,Generic - Electronics,SEARCH,3738,113,93.71,4,761.76,3.03,0.83,23.43,8.13
2024-08-15,C003,Generic - Home & Garden,SEARCH,3726,131,67.15,2,223.39,3.52,0.51,33.58,3.33
2024-08-15,C004,Shopping - All Products,SHOPPING,6539,122,28.46,3,713.15,1.88,0.23,9.49,25.06
2024-08-15,C005,Display - Retargeting,DISPLAY,18157,78,13.34,0,0.0,0.43,0.17,13.34,0.0
2024-08-15,C006,YouTube - Brand Awareness,VIDEO,12489,133,11.96,0,0.0,1.07,0.09,11.96,0.0
2024-08-16,C001,Brand - Olist,SEARCH,3208,129,82.57,5,1212.3,4.03,0.64,16.51,14.68
2024-08-16,C002,Generic - Electronics,SEARCH,5173,203,169.94,3,448.31,3.93,0.84,56.65,2.64
2024-08-16,C003,Generic - Home & Garden,SEARCH,3925,124,108.08,2,234.86,3.16,0.87,54.04,2.17
2024-08-16,C004,Shopping - All Products,SHOPPING,7547,125,61.96,2,361.42,1.66,0.5,30.98,5.83
2024-08-16,C005,Display - Retargeting,DISPLAY,20311,95,23.71,0,0.0,0.47,0.25,23.71,0.0
2024-08-16,C006,YouTube - Brand Awareness,VIDEO,15025,191,31.55,0,0.0,1.28,0.17,31.55,0.0
2024-08-17,C001,Brand - Olist,SEARCH,4753,178,145.71,3,689.24,3.75,0.82,48.57,4.73
2024-08-17,C002,Generic - Electronics,SEARCH,5198,147,135.74,3,619.19,2.84,0.92,45.25,4.56
2024-08-17,C003,Generic - Home & Garden,SEARCH,3384,133,123.24,2,257.59,3.95,0.93,61.62,2.09
2024-08-17,C004,Shopping - All Products,SHOPPING,7277,173,75.59,4,687.19,2.38,0.44,18.9,9.09
2024-08-17,C005,Display - Retargeting,DISPLAY,19854,83,21.74,0,0.0,0.42,0.26,21.74,0.0
2024-08-17,C006,YouTube - Brand Awareness,VIDEO,13764,193,18.99,0,0.0,1.41,0.1,18.99,0.0
2024-08-18,C001,Brand - Olist,SEARCH,3742,141,76.11,3,556.67,3.79,0.54,25.37,7.31
2024-08-18,C002,Generic - Electronics,SEARCH,3091,124,123.76,4,408.46,4.02,1.0,30.94,3.3
2024-08-18,C003,Generic - Home & Garden,SEARCH,4908,139,71.85,4,843.88,2.83,0.52,17.96,11.75
2024-08-18,C004,Shopping - All Products,SHOPPING,7547,147,50.13,3,470.21,1.96,0.34,16.71,9.38
2024-08-18,C005,Display - Retargeting,DISPLAY,13568,75,18.9,0,0.0,0.56,0.25,18.9,0.0
2024-08-18,C006,YouTube - Brand Awareness,VIDEO,13932,152,26.47,0,0.0,1.09,0.17,26.47,0.0
2024-08-19,C001,Brand - Olist,SEARCH,3236,119,84.11,4,598.35,3.69,0.71,21.03,7.11
2024-08-19,C002,Generic - Electronics,SEARCH,4203,131,80.37,4,570.6,3.12,0.61,20.09,7.1
2024-08-19,C003,Generic - Home & Garden,SEARCH,4143,143,142.34,5,1060.11,3.46,1.0,28.47,7.45
2024-08-19,C004,Shopping - All Products,SHOPPING,6324,143,67.43,2,171.06,2.28,0.47,33.72,2.54
2024-08-19,C005,Display - Retargeting,DISPLAY,17034,89,23.78,0,0.0,0.52,0.27,23.78,0.0
2024-08-19,C006,YouTube - Brand Awareness,VIDEO,11335,132,14.14,0,0.0,1.17,0.11,14.14,0.0
2024-08-20,C001,Brand - Olist,SEARCH,2928,114,75.55,1,92.32,3.92,0.66,75.55,1.22
2024-08-20,C002,Generic - Electronics,SEARCH,3180,110,89.01,3,678.66,3.47,0.81,29.67,7.62
2024-08-20,C003,Generic - Home & Garden,SEARCH,3970,113,84.61,2,495.47,2.86,0.75,42.3,5.86
2024-08-20,C004,Shopping - All Products,SHOPPING,4273,85,36.83,2,163.32,2.0,0.43,18.41,4.43
2024-08-20,C005,Display - Retargeting,DISPLAY,12183,61,9.87,0,0.0,0.5,0.16,9.87,0.0
2024-08-20,C006,YouTube - Brand Awareness,VIDEO,9569,97,13.57,0,0.0,1.02,0.14,13.57,0.0
2024-08-21,C001,Brand - Olist,SEARCH,3402,100,82.76,1,239.16,2.95,0.83,82.76,2.89
2024-08-21,C002,Generic - Electronics,SEARCH,3107,110,95.08,3,648.88,3.56,0.86,31.69,6.82
2024-08-21,C003,Generic - Home & Garden,SEARCH,3840,151,82.49,4,875.76,3.94,0.55,20.62,10.62
2024-08-21,C004,Shopping - All Products,SHOPPING,6605,139,56.81,2,180.52,2.11,0.41,28.41,3.18
2024-08-21,C005,Display - Retargeting,DISPLAY,14420,62,17.26,0,0.0,0.43,0.28,17.26,0.0
2024-08-21,C006,YouTube - Brand Awareness,VIDEO,10318,138,20.43,0,0.0,1.34,0.15,20.43,0.0
2024-08-22,C001,Brand - Olist,SEARCH,3557,149,148.81,3,586.92,4.19,1.0,49.6,3.94
2024-08-22,C002,Generic - Electronics,SEARCH,3159,89,56.61,3,610.86,2.84,0.64,18.87,10.79
2024-08-22,C003,Generic - Home & Garden,SEARCH,4868,165,112.32,6,520.91,3.4,0.68,18.72,4.64
2024-08-22,C004,Shopping - All Products,SHOPPING,8297,171,65.87,3,685.45,2.06,0.39,21.96,10.41
2024-08-22,C005,Display - Retargeting,DISPLAY,21087,102,19.37,1,115.81,0.48,0.19,19.37,5.98
2024-08-22,C006,YouTube - Brand Awareness,VIDEO,13690,172,26.61,0,0.0,1.26,0.15,26.61,0.0
2024-08-23,C001,Brand - Olist,SEARCH,3433,107,106.68,4,654.75,3.13,1.0,26.67,6.14
2024-08-23,C002,Generic - Electronics,SEARCH,3605,144,105.26,3,542.4,4.02,0.73,35.09,5.15
2024-08-23,C003,Generic - Home & Garden,SEARCH,3391,113,112.55,3,405.85,3.35,1.0,37.52,3.61
2024-08-23,C004,Shopping - All Products,SHOPPING,7915,134,70.67,2,184.99,1.7,0.53,35.34,2.62
2024-08-23,C005,Display - Retargeting,DISPLAY,13631,68,13.52,0,0.0,0.5,0.2,13.52,0.0
2024-08-23,C006,YouTube - Brand Awareness,VIDEO,13646,177,18.44,0,0.0,1.3,0.1,18.44,0.0
2024-08-24,C001,Brand - Olist,SEARCH,4667,161,150.16,5,1138.03,3.46,0.93,30.03,7.58
2024-08-24,C002,Generic - Electronics,SEARCH,3499,103,66.14,3,717.67,2.96,0.64,22.05,10.85
2024-08-24,C003,Generic - Home & Garden,SEARCH,3075,91,66.83,2,332.46,2.97,0.73,33.41,4.97
2024-08-24,C004,Shopping - All Products,SHOPPING,4929,84,44.68,1,241.81,1.72,0.53,44.68,5.41
2024-08-24,C005,Display - Retargeting,DISPLAY,18419,105,22.72,0,0.0,0.57,0.22,22.72,0.0
2024-08-24,C006,YouTube - Brand Awareness,VIDEO,9993,97,11.32,0,0.0,0.97,0.12,11.32,0.0
2024-08-25,C001,Brand - Olist,SEARCH,5448,159,134.5,6,660.69,2.93,0.85,22.42,4.91
2024-08-25,C002,Generic - Electronics,SEARCH,4741,188,184.9,5,925.17,3.97,0.98,36.98,5.0
