contact_id,sessions,engaged_sessions,page_views,is_first_visit,is_won
HS_000112,13,4,91,0,0
HS_000113,2,0,8,1,1
HS_000115,5,3,15,1,0
HS_000116,8,3,56,1,0
HS_000117,10,7,50,1,0
HS_000118,9,5,63,1,0
HS_000119,12,1,36,0,1
HS_000120,12,10,24,1,1
HS_000121,12,2,84,1,1
HS_000122,13,4,39,1,1
HS_000123,9,6,27,1,1
HS_000124,13,3,52,0,0
HS_000125,13,5,65,0,1
HS_000126,1,0,3,1,1
HS_000127,9,5,45,1,1
HS_000128,7,2,35,0,1
HS_000129,9,5,27,1,0
HS_000130,8,6,40,0,0
HS_000131,1,0,6,0,0
HS_000132,12,6,24,1,0
HS_000133,8,7,32,1,1
HS_000135,8,6,16,0,1
HS_000136,11,5,44,1,0
HS_000137,3,0,9,1,1
HS_000138,1,0,5,1,0
HS_000139,8,2,32,1,0
HS_000140,3,1,21,0,0
HS_000141,3,1,9,1,0
HS_000142,1,0,3,1,1
HS_000143,11,4,44,1,0
HS_000144,5,4,15,1,1
HS_000145,10,2,40,0,1
HS_000146,7,1,35,0,0
HS_000147,10,7,50,0,1
HS_000148,9,3,18,1,1
HS_000149,12,5,84,1,0
HS_000150,7,5,42,1,0
HS_000151,9,5,54,1,0
HS_000152,8,5,24,0,0
HS_000153,12,1,48,1,0
HS_000154,2,1,4,1,1
HS_000155,1,0,3,1,1
HS_000156,7,3,35,1,0
HS_000157,7,5,42,0,0
HS_000158,14,7,70,1,1
HS_000159,8,7,24,1,0
HS_000160,5,3,15,1,0
HS_000161,3,2,9,0,0
HS_000162,12,6,24,1,1
HS_000163,8,3,16,1,0
HS_000164,6,0,42,1,1
HS_000165,11,1,44,1,1
HS_000166,3,0,12,1,0
HS_000167,1,0,6,1,1
HS_000168,3,1,9,0,0
HS_000169,5,3,25,1,1
HS_000170,14,8,42,1,1
HS_000171,3,1,6,0,1
HS_000172,1,0,3,0,0
HS_000173,5,1,15,1,1
HS_000174,10,8,30,1,0
HS_000175,7,5,21,1,0
HS_000176,14,8,98,0,0
HS_000177,7,5,28,1,1
HS_000178,11,1,44,0,1
HS_000179,9,1,63,0,0
HS_000180,10,5,60,1,1
HS_000181,10,7,60,1,0
HS_000182,12,4,48,1,1
HS_000183,13,6,26,1,0
HS_000184,3,0,18,1,1
HS_000185,7,6,49,0,0
HS_000186,1,0,2,1,1
HS_000187,4,1,28,0,0
HS_000188,13,11,39,1,0
HS_000189,4,0,12,0,0
HS_000190,14,6,56,1,1
HS_000191,5,0,15,1,1
HS_000192,7,2,28,0,0
HS_000193,7,1,42,1,1
HS_000194,13,4,39,1,1
HS_000195,11,9,55,1,1
HS_000196,13,5,78,1,1
HS_000197,4,1,8,1,0
HS_000198,13,7,91,0,0
HS_000199,7,4,49,0,1
HS_000200,11,9,55,0,1
HS_000201,3,1,15,1,1
HS_000202,6,4,24,0,0
HS_000203,12,4,48,1,0
HS_000204,2,0,14,1,1
HS_000205,10,4,20,1,1
HS_000206,13,5,26,0,1
HS_000207,14,6,84,1,1
HS_000208,9,5,36,1,1
HS_000209,5,2,20,1,0
HS_000210,6,5,18,1,0
HS_000211,12,10,72,1,1
HS_000212,12,6,48,1,1
HS_000213,12,6,84,0,0
HS_000214,12,5,48,0,0
HS_000215,4,1,8,1,1
HS_000216,14,12,84,0,0
HS_000217,14,1,70,1,0
HS_000218,11,4,22,1,1
HS_000219,10,2,60,0,1
HS_000220,7,4,21,1,1
HS_000221,12,3,60,1,0
HS_000222,9,7,18,1,1
HS_000223,7,2,28,1,0
HS_000224,14,11,98,0,0
HS_000226,1,0,6,1,1
HS_000227,1,0,4,1,1
HS_000228,9,5,18,0,1
HS_000229,11,2,22,1,1
HS_000230,14,11,28,1,1
HS_000231,9,6,54,1,0
HS_000232,4,1,24,1,0
HS_000233,13,6,52,1,0
HS_000234,9,1,18,1,0
HS_000235,3,1,18,1,1
HS_000236,7,1,35,1,0
HS_000237,6,3,36,1,1
HS_000238,8,5,56,1,1
HS_000239,11,3,55,0,1
HS_000240,9,7,27,1,1
HS_000241,14,10,70,0,1
HS_000242,5,2,15,1,0
HS_000243,1,0,7,1,0
HS_000244,3,2,6,1,1
HS_000245,10,6,40,1,0
HS_000246,12,2,24,0,0
HS_000248,8,3,48,0,1
HS_000249,11,8,77,1,0
HS_000250,6,3,18,1,1
HS_000251,8,4,24,1,1
HS_000252,9,7,27,0,1
HS_000253,4,0,16,1,0
HS_000254,1,0,3,0,0
HS_000255,14,11,28,1,1
HS_000256,1,0,2,1,0
HS_000257,10,3,70,0,1
HS_000258,4,3,12,1,1
HS_000259,12,7,84,1,1
HS_000260,14,8,56,1,0
HS_000261,7,4,21,0,0
HS_000262,2,0,14,0,1
HS_000263,3,1,18,0,0
HS_000264,1,0,7,1,0
HS_000265,5,1,15,1,1
HS_000266,1,0,4,1,1
HS_000267,8,2,40,0,1
HS_000268,1,0,2,0,1
HS_000269,11,2,66,1,0
HS_000270,1,0,7,1,1
HS_000271,2,1,14,0,1
HS_000272,2,0,4,1,0
HS_000273,12,2,48,1,1
HS_000274,6,1,24,1,1
HS_000275,7,3,42,1,1
HS_000276,5,1,25,1,1
HS_000277,1,0,5,1,1
HS_000278,1,0,6,0,0
HS_000279,3,2,15,1,0
HS_000280,14,10,70,1,1
HS_000281,2,1,8,1,1
HS_000282,5,2,10,1,1
HS_000283,12,8,36,1,1
HS_000284,10,5,50,0,1
HS_000285,6,0,30,1,1
HS_000286,7,2,35,1,1
HS_000287,4,0,20,0,1
HS_000288,7,1,28,1,1
HS_000290,11,1,33,1,1
HS_000291,8,6,32,1,1
HS_000292,11,8,44,1,0
HS_000293,1,0,4,1,0
HS_000294,6,1,42,1,0
HS_000295,8,1,40,1,1
HS_000296,5,2,25,1,0
HS_000297,4,2,12,1,0
HS_000298,2,1,8,1,1
HS_000299,6,0,18,1,0
HS_000300,6,2,18,0,1
HS_000301,11,9,33,1,0
HS_000302,1,0,5,1,0
HS_000303,9,3,36,0,1
HS_000304,12,3,60,0,0
HS_000305,11,2,44,1,0
HS_000306,6,4,24,1,1
HS_000307,13,8,52,1,1
HS_000308,3,1,6,1,0
HS_000309,4,1,8,0,1
HS_000310,12,9,36,1,0
HS_000311,11,1,55,1,0
HS_000312,4,0,20,0,1
HS_000313,3,2,9,0,1
HS_000314,10,7,30,1,1
HS_000315,3,2,9,1,1
HS_000316,3,1,15,0,1
HS_000317,4,1,28,1,1
HS_000318,7,5,49,1,0
HS_000319,4,1,24,1,1
HS_000320,9,2,27,1,0
HS_000321,1,0,4,1,0
HS_000322,8,0,24,1,0
HS_000323,7,2,35,1,0
HS_000324,2,0,8,1,1
HS_000325,8,1,48,1,1
HS_000327,1,0,6,1,1
HS_000328,11,3,55,1,0
HS_000329,12,2,36,1,0
HS_000330,9,1,36,1,0
HS_000331,9,1,63,1,0
HS_000332,2,0,8,0,1
HS_000333,7,3,28,1,1
HS_000334,14,7,98,1,1
HS_000335,10,3,40,1,0
HS_000336,3,0,15,1,1
HS_000337,7,5,28,1,1
HS_000338,12,6,72,0,1
HS_000339,10,6,20,0,1
HS_000340,9,5,36,0,0
HS_000341,4,1,16,0,0
HS_000342,12,6,36,1,0
HS_000343,1,0,2,1,1
HS_000344,2,0,8,0,0
HS_000345,1,0,4,0,0
HS_000346,14,10,84,1,0
HS_000347,12,4,60,1,0
HS_000348,5,0,25,1,1
HS_000349,5,1,30,1,1
HS_000350,11,2,44,1,0
HS_000351,7,1,35,1,0
HS_000352,9,3,54,1,0
HS_000353,9,2,27,0,0
HS_000354,3,2,9,1,0
HS_000355,3,1,6,0,0
HS_000356,3,1,9,1,0
HS_000357,4,0,8,0,1
HS_000358,8,1,40,1,1
HS_000359,6,4,42,1,0
HS_000360,8,3,32,1,0
HS_000361,1,0,5,1,1
HS_000362,8,6,16,0,1
HS_000363,4,1,24,1,1
HS_000365,11,4,22,0,1
HS_000366,1,0,5,0,0
HS_000367,8,0,56,0,0
HS_000368,4,2,16,1,1
HS_000369,6,5,18,1,0
HS_000371,8,1,24,1,1
HS_000372,4,3,8,0,1
HS_000373,14,6,98,0,1
HS_000375,3,2,21,1,0
HS_000376,14,4,56,1,1
HS_000377,9,7,45,1,0
HS_000378,3,1,9,1,1
HS_000380,9,5,63,1,1
HS_000382,13,9,52,1,0
HS_000383,2,0,8,1,1
HS_000385,14,4,42,1,1
HS_000386,2,0,12,1,0
HS_000387,2,0,14,0,0
HS_000388,6,3,36,1,0
HS_000389,3,2,15,1,0
HS_000390,13,6,52,1,0
HS_000391,9,3,36,1,1
HS_000392,4,2,16,1,0
HS_000394,1,0,2,0,0
HS_000395,4,2,28,1,1
HS_000396,1,0,5,1,0
HS_000397,14,2,70,0,1
HS_000398,5,3,20,1,0
HS_000399,4,0,16,1,0
HS_000400,8,1,16,1,1
HS_000401,8,4,16,0,1
HS_000402,7,3,49,0,1
HS_000403,3,1,18,1,1
HS_000404,1,0,7,1,1
HS_000405,1,0,3,1,0
HS_000406,12,6,48,1,0
HS_000407,11,4,77,1,1
HS_000408,3,1,6,1,1
HS_000409,6,0,18,0,1
HS_000411,7,3,35,1,0
HS_000412,6,0,12,1,0
HS_000413,14,3,56,0,1
HS_000414,14,7,84,1,0
HS_000415,6,3,36,1,1
HS_000416,6,2,42,1,1
HS_000417,13,5,39,1,0
HS_000418,3,1,21,0,1
HS_000419,6,4,24,0,1
HS_000420,8,0,48,1,0
HS_000421,11,5,44,1,1
HS_000422,11,1,44,1,1
HS_000423,2,0,10,1,1
HS_000424,5,2,30,1,0
HS_000425,14,2,56,1,1
HS_000426,1,0,3,1,0
HS_000427,12,10,84,1,0
HS_000428,1,0,2,1,1
HS_000429,5,3,15,0,0
HS_000430,12,6,60,0,0
HS_000431,13,10,91,1,1
HS_000432,3,0,21,0,1
HS_000433,4,1,28,0,1
HS_000434,3,1,18,0,1
HS_000435,1,0,6,1,0
HS_000436,1,0,2,1,0
HS_000437,12,1,72,1,0
HS_000438,12,10,36,1,1
HS_000439,14,1,98,1,1
HS_000440,13,2,65,0,1
HS_000441,14,6,84,1,1
HS_000442,5,2,10,0,0
HS_000443,6,4,12,1,0
HS_000444,3,1,12,1,0
HS_000445,12,6,24,1,1
HS_000446,9,2,63,1,0
HS_000448,5,2,25,1,1
HS_000449,8,3,56,1,0
HS_000450,13,2,39,0,0
HS_000451,1,0,4,1,0
HS_000452,14,2,84,0,1
HS_000453,5,3,35,0,1
HS_000454,3,2,18,1,0
HS_000455,12,2,36,0,0
HS_000456,1,0,4,1,1
HS_000457,4,1,20,1,0
HS_000458,13,4,65,1,1
HS_000459,5,3,25,1,1
HS_000460,7,2,21,0,0
HS_000461,1,0,3,0,0
HS_000462,3,2,21,1,1
HS_000463,2,1,14,1,0
HS_000464,9,1,45,1,0
HS_000465,10,2,60,0,1
HS_000466,6,1,18,0,1
HS_000468,10,6,70,1,1
HS_000469,3,0,18,1,1
HS_000470,8,5,32,1,0
HS_000471,14,7,70,0,0
HS_000472,8,4,40,0,1
HS_000473,2,1,6,1,1
HS_000474,6,3,42,0,0
HS_000475,7,1,21,0,1
HS_000476,2,0,6,0,0
HS_000477,11,5,77,1,0
HS_000478,10,6,50,1,0
HS_000479,2,0,8,1,0
HS_000480,10,7,60,1,0
HS_000481,1,0,6,1,0
HS_000482,8,2,56,1,0
HS_000483,1,0,3,1,1
HS_000484,9,3,45,1,1
HS_000485,11,2,55,0,1
HS_000486,6,4,42,1,1
HS_000487,7,6,28,1,0
HS_000488,13,7,65,1,0
HS_000489,10,8,20,0,1
HS_000490,7,4,35,1,0
HS_000491,10,5,20,1,1
HS_000492,3,1,6,1,0
HS_000493,2,0,12,0,1
HS_000494,9,1,27,1,0
HS_000495,8,3,16,1,1
HS_000496,13,7,65,1,1
HS_000497,12,6,84,1,1
HS_000498,10,6,40,1,0
HS_000499,7,1,49,1,1
HS_000500,9,3,45,0,1
HS_000501,4,1,28,1,1
HS_000502,13,3,91,1,1
HS_000503,4,3,24,1,1
HS_000504,1,0,6,1,0
HS_000505,8,1,32,0,1
HS_000506,14,9,84,1,1
HS_000507,14,7,28,0,1
HS_000508,12,6,36,0,0
HS_000509,3,2,6,1,0
HS_000510,7,4,49,0,1
HS_000511,12,9,48,1,1
HS_000512,2,1,6,1,0
HS_000513,2,0,6,1,1
HS_000514,7,0,35,1,0
HS_000515,6,2,24,1,0
HS_000516,3,2,18,1,0
HS_000517,9,6,36,1,0
HS_000518,10,7,70,1,1
HS_000519,14,6,56,1,0
HS_000520,13,9,91,1,1
HS_000521,6,4,30,1,1
HS_000523,10,3,40,1,1
HS_000524,10,2,20,1,1
HS_000525,6,3,12,0,0
HS_000526,1,0,4,1,1
HS_000527,4,2,20,1,1
HS_000528,10,2,40,1,0
HS_000529,6,1,42,1,1
HS_000530,6,4,24,1,1
HS_000531,11,9,22,1,1
HS_000532,12,10,60,1,1
HS_000533,5,2,15,1,1
HS_000534,1,0,7,1,0
HS_000535,8,0,56,1,1
HS_000536,5,3,15,1,1
HS_000537,12,5,84,1,0
HS_000538,12,8,84,1,0
HS_000539,12,1,60,1,0
HS_000540,5,3,25,1,1
HS_000541,7,4,21,1,1
HS_000542,4,1,16,0,0
HS_000543,6,2,12,1,1
HS_000544,13,3,26,0,0
HS_000545,4,1,12,1,1
HS_000547,14,5,84,1,1
HS_000548,3,1,21,1,1
HS_000549,7,5,42,1,0
HS_000550,8,7,32,1,0
HS_000551,4,1,12,1,0
HS_000552,13,2,39,1,0
HS_000553,2,0,12,1,1
HS_000554,12,2,84,1,1
HS_000555,10,7,40,1,1
HS_000556,14,7,84,1,1
HS_000558,3,1,18,0,1
HS_000559,1,0,6,1,1
HS_000560,8,5,16,0,1
HS_000561,3,2,9,1,1
HS_000562,12,5,48,0,0
HS_000563,10,8,40,0,0
HS_000564,7,0,21,1,0
HS_000565,10,1,20,1,1
HS_000566,5,4,15,0,1
HS_000567,10,6,40,1,0
HS_000569,5,1,20,1,1
HS_000570,14,5,98,0,1
HS_000571,7,3,14,1,0
HS_000572,9,5,27,1,0
HS_000573,12,9,24,0,1
HS_000574,5,0,30,0,1
HS_000575,1,0,3,1,1
HS_000576,10,4,50,1,1
HS_000577,10,5,20,1,1
HS_000578,1,0,5,1,1
HS_000579,2,0,14,0,1
HS_000580,14,3,28,0,1
HS_000581,6,2,24,0,0
HS_000582,9,2,45,0,0
HS_000583,8,1,32,1,0
HS_000584,13,5,52,1,1
HS_000585,5,0,20,1,1
HS_000586,1,0,4,1,1
HS_000587,13,2,39,0,0
HS_000588,7,3,21,1,0
HS_000589,5,4,30,1,0
HS_000590,6,0,24,1,0
HS_000591,13,5,78,1,1
HS_000592,7,4,42,1,0
HS_000593,3,0,15,1,0
HS_000594,12,6,24,0,1
HS_000595,10,3,40,0,0
HS_000596,3,0,9,1,1
HS_000597,5,4,25,1,1
HS_000598,6,1,42,1,0
HS_000599,9,3,63,1,1
HS_000601,13,3,91,1,1
HS_000602,14,4,98,1,1
HS_000604,12,4,36,1,0
HS_000605,5,1,30,1,1
HS_000606,1,0,2,1,0
HS_000607,14,9,84,0,0
HS_000608,14,7,84,1,0
HS_000609,14,8,28,1,1
HS_000610,4,3,16,1,0
HS_000611,5,4,30,1,0
HS_000612,12,5,48,1,1
HS_000613,10,8,50,0,0
HS_000614,10,4,40,1,0
HS_000615,5,3,25,1,0
HS_000617,7,3,49,1,0
HS_000618,4,3,8,1,0
HS_000619,1,0,6,0,0
HS_000620,14,9,84,1,1
HS_000621,14,6,84,1,0
HS_000622,5,3,25,1,0
HS_000623,7,6,14,0,1
HS_000624,10,2,70,1,0
HS_000625,10,4,60,1,1
HS_000626,6,0,12,1,0
HS_000627,5,1,30,1,0
HS_000628,4,3,28,0,0
HS_000629,2,1,6,0,0
HS_000630,4,1,8,1,0
HS_000631,10,6,50,1,0
HS_000632,10,5,70,1,0
HS_000633,3,0,21,1,0
HS_000634,10,2,60,1,0
HS_000635,1,0,2,1,0
HS_000636,8,2,56,0,0
HS_000637,5,1,15,1,1
HS_000638,13,4,91,0,1
HS_000639,4,3,24,1,0
HS_000640,8,1,56,1,1
HS_000642,7,5,14,0,1
HS_000643,2,1,6,0,0
HS_000644,1,0,4,1,1
HS_000645,12,6,60,1,1
HS_000646,11,4,55,1,0
HS_000647,4,3,24,1,0
HS_000648,8,6,48,1,1
HS_000649,12,3,24,1,1
HS_000650,2,1,12,0,0
HS_000651,3,1,18,0,0
HS_000652,12,4,72,1,0
HS_000653,1,0,3,1,0
HS_000654,1,0,2,1,1
HS_000655,13,4,65,1,0
HS_000656,3,1,21,1,0
HS_000657,11,8,66,1,1
HS_000658,5,3,25,0,0
HS_000659,12,9,48,1,0
HS_000660,3,0,15,1,1
HS_000661,1,0,5,1,1
HS_000662,1,0,4,1,1
HS_000663,8,1,24,1,1
HS_000664,10,7,40,0,0
HS_000665,11,3,66,1,0
HS_000666,12,7,84,1,1
HS_000667,13,8,91,1,0
HS_000668,13,10,52,0,0
HS_000669,12,6,84,0,0
HS_000670,14,10,84,0,0
HS_000671,2,0,4,1,0
HS_000672,13,5,78,0,0
HS_000673,3,1,15,1,0
HS_000674,2,1,14,1,0
HS_000675,3,1,12,1,1
HS_000676,7,6,21,0,1
HS_000677,1,0,2,1,1
HS_000678,10,3,20,1,1
HS_000679,8,6,16,1,0
HS_000680,13,5,26,1,0
HS_000681,10,5,50,1,1
HS_000682,10,1,70,0,1
HS_000683,10,3,40,1,1
HS_000684,14,1,42,1,0
HS_000685,2,0,6,1,0
HS_000686,3,1,9,1,0
HS_000687,9,6,36,0,0
HS_000688,7,5,49,0,1
HS_000689,4,1,16,1,1
HS_000690,10,3,70,1,0
HS_000691,5,2,15,1,1
HS_000692,2,0,12,1,1
HS_000693,13,9,78,0,0
HS_000694,11,5,66,1,0
HS_000695,13,11,26,1,0
HS_000696,8,1,24,1,0
HS_000697,4,0,28,0,0
HS_000698,9,3,18,0,0
HS_000699,5,1,15,1,0
HS_000700,13,8,65,0,0
HS_000701,9,7,45,1,1
HS_000702,4,0,24,0,0
HS_000703,10,2,70,1,1
HS_000704,5,1,25,1,0
HS_000705,9,4,18,1,1
HS_000706,8,3,48,0,0
HS_000707,3,2,15,1,0
HS_000708,1,0,3,0,1
HS_000709,3,1,21,0,1
HS_000710,4,2,28,1,1
HS_000711,2,1,10,1,0
HS_000712,1,0,7,0,0
HS_000713,7,0,49,1,1
HS_000714,8,2,48,1,1
HS_000715,7,0,35,0,1
HS_000716,14,5,70,1,1
HS_000717,5,1,15,1,0
HS_000719,12,2,36,1,1
HS_000720,1,0,7,0,0
HS_000721,7,3,35,1,0
HS_000722,13,3,26,1,0
HS_000723,7,4,35,1,1
HS_000724,9,5,18,1,0
HS_000725,3,0,21,0,0
HS_000727,9,7,63,1,1
HS_000728,14,3,98,0,0
HS_000729,1,0,5,0,1
HS_000730,1,0,6,1,0
HS_000731,14,9,70,1,0
HS_000732,4,2,28,1,1
HS_000733,9,7,18,0,0
HS_000734,6,1,18,1,0
HS_000735,13,4,26,1,0
HS_000736,11,6,55,1,0
HS_000737,3,2,21,1,1
HS_000738,1,0,3,1,0
HS_000739,4,3,20,1,1
HS_000740,12,3,48,1,0
HS_000741,13,9,65,1,1
HS_000742,9,7,36,1,1
HS_000743,3,1,21,1,1
HS_000744,12,10,24,1,0
HS_000745,9,2,18,1,0
HS_000746,7,6,35,1,0
HS_000747,12,9,36,1,1
HS_000748,14,2,28,1,1
HS_000749,4,2,16,0,1
HS_000750,3,1,9,1,0
HS_000751,10,1,50,1,1
HS_000752,5,0,20,1,1
HS_000753,5,0,25,0,0
HS_000754,3,1,9,1,0
HS_000755,12,5,72,1,1
HS_000756,9,7,27,0,1
HS_000757,4,1,28,1,1
HS_000758,11,6,33,0,0
HS_000759,5,0,10,0,1
HS_000760,4,2,8,1,0
HS_000761,5,4,15,1,0
HS_000762,7,2,35,0,0
HS_000763,9,3,36,1,1
HS_000764,7,4,49,0,1
HS_000765,13,4,52,1,1
HS_000766,5,2,35,1,0
HS_000767,10,3,40,1,1
HS_000768,10,3,70,1,0
HS_000769,7,4,14,0,1
HS_000770,14,11,70,0,0
HS_000771,10,5,40,1,0
HS_000772,5,0,10,1,0
HS_000773,3,0,6,1,0
HS_000774,7,6,49,0,1
HS_000775,13,10,78,1,1
HS_000776,11,2,22,0,0
HS_000777,11,9,66,0,1
HS_000778,2,1,14,1,0
HS_000779,12,4,72,1,1
HS_000780,9,5,63,1,1
HS_000781,10,5,50,1,1
HS_000782,10,3,20,1,0
HS_000783,12,2,48,0,1
HS_000784,1,0,4,1,1
HS_000785,13,10,65,1,0
HS_000786,6,4,12,1,0
HS_000787,7,2,28,1,1
HS_000788,14,7,70,1,1
HS_000789,13,5,91,0,1
HS_000790,8,3,16,0,1
HS_000791,10,7,60,1,1
HS_000792,9,4,54,0,0
HS_000793,2,0,10,0,0
HS_000794,11,3,33,1,0
HS_000795,10,5,60,1,1
HS_000796,2,1,14,0,0
HS_000797,5,2,35,0,1
HS_000798,13,7,39,1,1
HS_000799,5,3,10,1,1
HS_000800,6,3,18,1,0
HS_000801,3,2,6,1,1
HS_000802,8,2,32,1,0
HS_000803,13,10,26,1,1
HS_000804,1,0,2,1,0
HS_000805,6,3,12,1,0
HS_000806,4,1,24,1,1
HS_000808,1,0,5,1,0
HS_000809,7,6,28,1,0
HS_000810,9,2,45,1,1
HS_000811,13,8,26,1,1
HS_000812,4,2,28,0,1
HS_000813,4,1,24,0,1
HS_000814,6,5,18,1,1
HS_000815,12,6,48,0,0
HS_000817,3,2,18,0,0
HS_000818,13,8,65,1,0
HS_000819,12,7,72,1,1
HS_000820,6,2,24,0,1
HS_000822,7,5,28,1,0
HS_000823,11,1,22,1,0
HS_000824,10,5,50,1,1
HS_000825,10,1,20,0,0
HS_000827,3,1,6,1,1
HS_000828,7,1,42,1,1
HS_000829,14,11,98,1,1
HS_000830,3,1,9,1,0
HS_000831,13,8,26,1,1
HS_000832,13,10,78,1,1
HS_000833,2,1,12,1,1
HS_000834,12,2,72,0,1
HS_000835,14,8,28,0,1
HS_000836,10,8,40,0,1
HS_000837,4,1,12,1,0
HS_000838,12,7,60,1,1
HS_000839,8,4,32,0,1
HS_000840,13,5,52,1,0
HS_000841,9,7,27,1,1
HS_000842,7,2,28,0,1
HS_000844,1,0,2,1,1
HS_000845,3,2,15,1,0
HS_000846,13,8,78,1,0
HS_000847,12,4,84,0,1
HS_000848,14,4,42,1,1
HS_000849,9,7,27,1,0
HS_000850,12,3,72,1,1
HS_000851,1,0,3,1,1
HS_000852,9,2,45,1,1
HS_000853,8,7,16,1,1
HS_000854,1,0,7,1,0
HS_000856,6,3,42,1,0
HS_000857,5,3,10,0,0
HS_000858,6,4,12,1,1
HS_000859,10,8,40,0,0
HS_000860,12,8,60,0,0
HS_000861,13,10,52,1,0
HS_000862,13,5,26,1,1
HS_000863,13,5,39,0,1
HS_000864,5,3,15,1,0
HS_000865,6,4,30,0,0
HS_000866,5,4,15,1,1
HS_000867,11,2,44,1,0
HS_000868,12,7,60,1,0
HS_000869,5,3,15,1,0
HS_000870,4,2,12,1,0
HS_000871,3,0,15,1,0
HS_000872,3,2,6,1,0
HS_000873,4,1,12,0,0
HS_000874,9,5,27,0,1
HS_000875,2,1,4,0,0
HS_000876,9,4,54,1,1
HS_000877,1,0,3,0,1
HS_000879,14,12,28,1,0
HS_000880,1,0,3,1,1
HS_000881,5,3,20,1,0
HS_000882,6,2,12,1,1
HS_000883,6,4,24,0,0
HS_000884,3,1,15,1,0
HS_000885,7,3,35,0,0
HS_000886,9,6,36,1,1
HS_000887,11,5,55,0,1
HS_000888,12,3,60,0,1
HS_000889,10,8,30,0,0
HS_000890,8,4,32,1,1
HS_000891,6,3,42,0,0
HS_000892,12,7,72,1,1
HS_000893,8,6,40,1,0
HS_000894,12,2,48,0,0
HS_000895,5,0,25,1,0
HS_000896,8,3,32,0,0
HS_000897,10,5,40,0,1
HS_000898,12,3,84,1,0
HS_000899,4,2,12,1,1
HS_000900,10,1,20,1,0
HS_000901,8,5,24,0,1
HS_000902,10,6,20,0,0
HS_000903,12,3,48,1,0
HS_000904,2,0,6,1,1
HS_000905,12,8,36,0,0
HS_000906,12,8,84,1,0
HS_000907,5,3,25,0,1
HS_000908,9,3,27,0,1
HS_000909,4,3,16,1,0
